,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
x_location.down_mean,0.0250297553099849,-0.08612368322206902,0.03630620594123437,0.0033414950712643663,-0.07466245277367133,0.4021033417671401,-0.03574387091455158,0.08580542697725853,-0.19758772412418318,0.02992904915803604,-0.00013552917190516253,-0.00954030724589726,0.0839259055991971,0.0954974926392634,0.010309641703279075,-0.006144226983971399,-0.05504092311342987,0.02873946438518375,0.040458469538769935,-0.007372356234327793,-0.0006571201981649202,0.0543045483475908,-0.09506299126261349,0.15987181665233033,-0.06652321576413792,-0.029007284258026806,0.09288977807863726,-0.04207370700676401,0.06652925926366539,0.007913036624779275,0.1379296062437745,0.06917886733184773,-0.053819695886958674,0.03852797293160796,-0.026120536084250225,-0.07625046746231615,0.05761598473656607,0.07148801015732338,0.026092064537751553,0.08488190463054697,-0.08534202730736833,-0.058616321017660386,0.08098890937636823,0.04346079848346787,0.0362285533175499,-0.09995999973365098,0.03495645554247356,-0.06931044379586168,-0.016614921584689055,-0.05716736208732821,0.058858780553219324,-0.03415958622164149,0.0765657048295866,-0.09502253018544737,0.04305665641110667,-0.0422280405899003,0.17386813220501876,0.0674636588444931,0.051710659296878424,-0.34508962382511665,0.10290833299145134,-0.08234262363749534,-0.03416409831984018,-0.04880578456163872,-0.0288123384027604,-0.07668723186825474,0.17724136284083553,0.12805558931724179,-0.3053699438005169,0.09854388545162249,0.07930186771662218,-0.043772396453780615,0.3179996857632692,0.06196008160757422,0.238774765972568,0.21416474826459111,-0.13677865488797297,-0.013352592258941713,0.06271965217921682,0.011279855676915713,-0.02919568314760688,0.0783802531663059,-2.655121756776758e-16,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
y_location.down_mean,0.05662222023717561,-0.054193326532822717,0.1365510023406455,-0.004177434235220259,-0.04521090844582909,-0.03756828776427357,-0.2514637726666607,-0.015246362987697146,-0.07424131685425917,-0.11273414758244396,-0.1553789855721978,0.11526458259250616,0.0977119278471403,0.12062159577802968,-0.08447872804191647,-0.05094366352461328,0.10574988545480277,-0.057910529297273985,-0.2610699229424973,-0.021957755315547924,0.06477904632749075,-0.2736709683151124,0.027389574059728583,0.13831729786515382,-0.009897696729671565,-0.1343587056045013,-0.024709482537284874,0.0766781103006269,0.03734014717156133,-0.185104486812836,0.054742233020212326,-0.07234164521042401,0.07524643635935277,0.09504712874398903,-0.07926487146520149,0.3153108259067925,0.08235162315299821,0.020605575413146227,0.1196534209910191,0.12573967064928676,0.11944113001915845,0.01683485318195246,0.06300510619783069,-0.11928143401145455,0.012532208522209133,-0.07282368211399878,0.15198842951585695,0.033967760451141804,0.054678645619278834,-0.08073439446476875,0.044969942035374424,0.01951406198874517,0.05822894067357938,0.017542568565471747,0.05724323153794041,0.03163847686057858,-0.07492218770672246,0.06362923738423633,0.07218296329959606,0.10947638538705087,0.036223432780377395,0.003977959008068563,-0.03872987906835194,0.02437924464386256,-0.150884373675568,0.23760812559456074,-0.15742099379915622,-0.03265972147104465,0.06422168416036014,-0.09363403188554492,0.0737549538201048,-0.11904869827870677,0.11034568266448996,-0.011226388047095172,0.10597034765864156,0.014901506338229273,-0.02041251977519616,0.0490303341205236,0.0135308420784255,0.04093081146146331,0.31887071300991354,0.17339169609606986,6.820497089359801e-17,2.8164476742431714e-16,-1.3170113548144713e-16,-4.034883272949773e-17,-1.2719569166318142e-17,1.2869861726544872e-19,6.237449198743959e-18,2.332835699291591e-18,3.3372072583658056e-19,-4.447714876944059e-18,4.4707737072867375e-18,7.425525922945223e-18,1.0618629814148538e-17,6.194949083983175e-18,2.239078736703818e-17,8.101727288640997e-18,9.264738720992819e-19
touch.duration_mean,-0.04633803744093634,-0.08328787382924438,0.18006080199065036,-0.08385102365194567,0.1705786799624744,0.01946135945537908,-0.051180717727734956,0.1769377847748781,0.04775682942158832,-0.13945941646788823,-0.011305953731120198,-0.009627132701696017,-0.1483011750729213,-0.1393105054339211,-0.13095840932931863,0.16041389178708337,-0.07516243918374926,0.1406987286257202,-0.028693516067158323,-0.0034179573019877544,0.1889080022726613,0.07484400446411513,-0.048612619335432386,0.05101784848878462,0.12009091932340057,-0.009266775857410455,-0.06685722014903703,-0.04136438086118426,-0.14156223427392528,0.03334358131214642,0.11747104075417457,-0.01732928845814602,0.12184131963677826,-0.07942444409225632,-0.05545946208107685,0.004084135512668039,0.16752275552467244,0.024467467314621877,-0.23525185626467887,-0.12954822845053504,0.057828580463043615,0.07934959104466938,0.12110791155946588,-0.05383603850309636,0.2264995174637074,-0.015956105103221374,0.03950926789673573,0.003572053077610937,-0.008581494331514868,-0.059286612853200624,-0.10914000811253158,0.04617163285761594,-0.02067941979019655,0.051826783339832386,0.035836314608093195,-0.05138902737881295,-0.025549488383021776,0.04458418465366961,0.09855351187694886,0.0316884654867602,0.01861295824833368,-0.08971324209613289,-0.052524071338582404,-0.10070847258922969,0.045020999798228184,0.013580119208416917,-0.06402390727524444,-0.3393574194758439,-0.04390432907439033,0.4287458161042206,0.23120385506909244,0.0061461353846802725,-0.08462525026064552,0.06848987107002022,0.014657969676403752,0.02867142597641728,-0.022834950747805047,0.09805425757417942,-0.05874431730128783,-0.0026659793247380873,-0.03583009513010579,0.013166440456250561,-7.433540471149808e-17,2.1775339737898373e-16,-1.8750137281120665e-16,1.4775837338640674e-16,6.0303975857514996e-18,-9.76645627735105e-18,-3.9698737191081197e-17,-1.7055903280731737e-18,6.71174469597734e-17,5.90450207639909e-18,-9.982859521251957e-18,-1.7146715191087437e-17,-4.682751129481644e-17,-6.055572589532939e-18,-8.605517078753747e-17,-8.772915868724935e-19,-9.025260406267748e-18
swipe_length_mean,0.07965439591160367,-0.24431069220754675,0.08587996875243602,-0.024735278775742924,0.03714864632215647,0.04208144476169293,0.09272604940914325,-0.09870985114224567,0.07902015875769663,-0.011584361834513841,-0.05480670409602769,-0.06351128224873834,-0.010302724049793988,-0.034769782696672885,0.09185015996379176,-0.017202871285725382,0.07175333749063852,0.06574289453356122,0.14751526957239186,0.14684435056791698,-0.031235084180765302,0.04539235462593972,-0.03517771776174154,-0.05103131264089955,0.039902233578220404,0.09781476141446138,-0.050453236662947876,-0.07563578370097923,0.06333287374217716,0.08633682371161062,-0.01667269853534524,-0.07900337130254009,0.00456031118196705,-0.01270415501322205,-0.054998260826423354,-0.06099802044286434,0.0190792947405017,-0.017925142364398156,0.002371443551511313,-0.07386516061055748,-0.040193957795142524,0.06822086044855431,0.013856131905386473,0.10877267220791086,-0.03416729854278329,0.10664596354469412,-0.03751100078488388,-0.05513813666627077,-0.02685440720044337,0.03176777435254497,0.058978848313021796,0.05006018093523346,-0.04265338075271119,-0.1157663816142869,-0.07717311280383807,0.13927456749817488,0.1022421940650764,-0.0386141793537279,-0.04889686348385866,0.022683517231231617,-0.1009940654377699,0.007576664020649633,-0.009523863796228323,-0.1503901371065921,0.0383856474402095,-0.09463564797093578,0.12949384109904188,0.042578647050570316,-0.03544736933700057,0.007618590502751939,0.027188535871849377,0.0444465197786182,-0.10462547702686373,0.10657131005215421,-0.10459967788291001,-0.16195871104711912,-0.27157383131125,0.0980532891674823,0.024411008398261016,0.09618100811589161,0.6041729666011662,0.2978700143587137,8.272364192303898e-17,-3.136234532917333e-16,1.3694105982013332e-16,8.8998251250907e-17,2.0065674822798022e-17,1.069736137462172e-17,-1.0490467462491469e-17,-4.5168880174136884e-18,8.926679014160321e-18,7.915315101325128e-18,6.556248579711818e-20,-1.0541837668615848e-18,-1.991515856130621e-17,-7.767440516642024e-18,-3.0561546271354085e-17,7.770527025480888e-18,-1.6728328322056298e-18
button_touch_x_location_mean,0.15137850122897953,-0.12413815645163961,0.11352703258097185,-0.09414142114130578,-0.010441686739794287,0.053453594158672124,0.03582705542933244,-0.0609776345478217,0.03128941597576257,-0.011336663335737178,-0.039761296583755615,0.008475416485731642,-0.005246068701193846,0.0011897607171692526,0.05955172660489727,-0.11816102003825005,0.06257709048827456,0.04539133158388846,0.04404801534038662,-0.12891073435668027,0.006386776612513079,0.05193509573288453,0.04017762711823,-0.053183038190926735,-0.07395602806315361,-0.02517009628937253,-0.013684593241811288,0.009270629778602116,0.01479469507616249,-0.01034000697623826,0.013885895396827663,-0.01113020501987054,-0.021472673533375536,-0.04454696757175443,0.17497010319310846,-0.02744562486719014,0.035903334486709265,0.007955137762390346,-0.09239386619077564,0.009488981906141489,-0.04383837624062156,0.14064022736605933,-0.043362861553632545,-0.01124102691175538,-0.006600653612949953,0.10885287572081104,-0.07803114367725181,0.04301148568246004,-0.011171150229019749,0.2212421131183209,-0.0686909297817957,0.07849063697910262,0.12734470718326538,0.22900149372771525,-0.030488705806236034,-0.1330097813613279,-0.20574559382317412,0.055569628518257856,-0.10401957804436249,-0.3845609001201014,0.11224994141838382,-0.031392112948818746,-0.058496599532347544,0.04556951817356486,0.10221339960378513,0.01882334795094933,-0.05502038606100396,-0.24262473387344977,0.20778560074147248,-0.3640367489550349,0.3174017592435334,0.07386634512013941,0.03931596694309317,-0.1672734398875706,0.038417041992790474,0.033323814756497386,-0.1590207920214847,0.05039028252387609,0.014908176813627362,0.00028707807261168106,-0.012889368623670232,0.015108895537021064,6.79380662213146e-17,2.3569897791783827e-16,-6.47717853926866e-17,-1.5541089713722035e-16,2.6530184194077846e-18,-8.607219409467599e-18,3.328685045561133e-17,3.3425905367326877e-19,-1.8370123307306802e-17,-1.2462514703334068e-18,-3.692880195113337e-18,1.396744024546438e-17,5.450184446595734e-17,1.7105418639911664e-17,1.310392038789077e-16,8.986349423467796e-18,2.1636882967183254e-17
time_between_touches_mean,-0.06157367664629109,-0.10131603779363292,0.20342481994117168,-0.004886318632172239,0.2113192433167851,-0.039834274759505905,0.061886977536348614,0.10533347577353241,-0.07468730985203381,-0.03572643829303382,0.17673415674988754,-0.02810552725663705,-0.17982457260762988,0.1233283889218389,-0.013250786617018284,-0.008826209427964152,-0.005708310904870872,-0.15587313156598012,0.04824426986142111,-0.04356119691908511,-0.08249358307742742,-0.10369228206876466,-0.04322399737248028,-0.05503156359610813,0.13078278553755995,0.037889117018921344,0.026755764228107687,0.13445257598330163,0.005538936704659617,-0.048015148244257705,-0.09945032131392631,-0.020946465997788835,-0.06844116633520572,0.13342856056348668,-0.032169671681568174,-0.03688357315471856,-0.031798968352992216,0.03389194192749559,-0.13948110991612023,0.15927533144476716,-0.10989202939139461,0.016658612523445374,0.10420433221509491,-0.08456495204690206,-0.03494093524907635,-0.00798745044847482,-0.1351544750273092,0.04840116284914717,-0.0594132734734775,0.012207844147193038,0.032382860651635106,-0.05689301383771113,-0.0643244280300948,-0.028758761203497553,0.022536463286197718,-0.0030986085677768924,-0.020816352449700197,-0.006881714147699988,-0.022837546734613065,0.0064621056919247424,0.0323707826284486,0.08661217517830963,0.11924298247423815,0.030552211348134538,0.039214945303661125,-0.12301783303909292,0.05311049305989466,-0.1024801552204065,-0.14663495092116863,-0.08414708574252078,-0.02494527222630652,-0.5623352124690505,-0.021055593740504794,-0.17190171457881467,-0.12396745395758034,0.1327965562532515,-0.02901975590773108,0.04466619970796952,0.04103779429015483,-0.05010084992890762,0.16358674833161269,-0.2473051100474048,1.19562358347439e-16,7.081271218169635e-17,5.415259600479128e-17,2.282543619969677e-17,-5.3783693714739566e-17,-8.785541275464282e-18,3.2043212429322346e-18,2.383710834381661e-19,-1.2871889717921378e-17,4.0588347084427955e-19,2.456269260853126e-19,1.5240777077216202e-17,1.739148335083226e-17,1.6378730783126875e-18,2.8798341463139e-17,1.749846635056269e-18,4.69669687216512e-18
y_location.release_mean,0.08968803899683227,-0.21995430431357707,0.1350334529383489,-0.02218285725986708,0.0014336607110404416,0.011938133097747161,-0.05803821686544483,-0.11996299090816347,-0.008152504251600856,-0.019987377454801808,-0.13265927400384236,0.05029828237567213,0.05298206747478035,0.03788828145109979,0.023741212894233667,-0.016438966832118367,0.100412215503499,-0.019292525380988537,-0.06760794588780972,0.11957093183969672,0.002263148500358925,-0.16322400086032646,-0.000856592351873714,0.05801061472883925,0.049070233328417354,-0.00284814384714472,-0.08100406583415405,-0.10079423192166391,0.034673662612022677,-0.04792397514402849,0.0059440753389228,-0.11846328216458038,-0.008784551908320705,-0.008080804219412444,-0.0313318205518844,0.13132633939206145,-0.01507214842965185,-0.06308211028494759,0.05419800379890744,0.055324419792546806,0.015025804936948758,0.04870762904561478,0.12228568254513887,-0.07735707349869239,-0.06262893775259283,0.07961730972369353,0.10710652814779188,-0.11152348268193091,-0.0041152635323628475,-0.021340441815168386,0.032968125586230745,0.027431423914550643,-0.06462266430301833,-0.08044658664328819,-0.08571046198677965,0.13652559216284246,0.1094599566150272,-0.025842403555484648,-0.049856116312761795,0.036546760733191325,-0.04728913889546876,0.06906541914058986,-0.06281852789371613,-0.06045228394698193,0.061420133504047805,0.0035818796544800227,0.0576805824812462,-0.1235031396500054,-0.14554883479598146,-0.0917305356679031,-0.09130732404785807,0.12855699508726343,-0.045733166213340046,0.13715130621555743,-0.27574516040528463,0.05297954986637164,-0.42407269298693573,0.06359103920131472,-0.018421193016347617,-0.05052379347148778,-0.44336175248740667,-0.26270467122007324,-3.770451052000762e-17,-4.4301453287236887e-16,2.5395859519703477e-16,1.6127533549510936e-17,3.1733911867354814e-17,1.5144548872463886e-18,1.0655769078784788e-17,-3.2436068012910258e-18,-9.751178131532691e-18,4.2107552382582875e-18,-2.0031944448093696e-18,3.671677631132489e-18,-7.224649948156458e-18,-1.5958080179234309e-18,-1.7768531952100636e-18,3.5627067872871004e-18,-8.300173808346391e-19
difference.touch_buttonCenter_x_mean,0.08426511981337227,0.08344047328207757,0.18572138989835302,0.2173054193566052,0.0006648554574672227,-0.021595441949553193,-0.06113883744744017,0.10597086726449262,-0.06440725453745932,0.10881440705985328,-0.004879038379456193,0.030926909744341976,0.0013870845516775268,-0.16528222650389193,0.12699231998217897,-0.06678653898554111,0.10451090591619402,0.11490362306473034,0.05682448319631624,-0.023059989533198377,-0.03357226436845637,-0.08498832404395487,-0.007690846733847095,-0.04566659338296991,-0.03316184137901247,-0.08376888396509313,0.04000106980766291,0.02315522949954016,-0.12264580862534916,-0.05156413817275305,0.0314341725129894,0.04601004738986642,-0.0236967768830643,-0.06455669404078193,0.13530137385112698,-0.07986532471899707,-0.06658382021282672,-0.059455977329790646,0.03990998981109686,0.08501037500857014,0.011051472612304769,0.11265513659272988,-0.025676278942188602,0.06799431265302641,-0.04279748789359797,-0.13468650349958455,-0.03324484582232693,-0.0588481213622777,0.15518716897805135,0.00569975314588142,-0.06367537474476323,0.029600068684008118,-0.27544161063186534,0.04756335363670125,0.005502188291569073,0.08119259233909995,-0.2087111805615067,-0.2520713144612837,0.39285100907998816,-0.05515441335729518,0.06129402408480668,0.11389248602637217,-0.11976688260289302,-0.17781824191014511,0.002763228339117557,0.08735362610004725,-0.04126856444849566,0.08539074212646715,-0.2480477937800991,0.05312128458719555,0.02678799656814891,0.0923174101870639,-0.02814377766820375,-0.2614729355878629,-0.06014888736710994,-0.0994746544376156,-0.02358563724780044,-0.032259063258291254,0.19011266431726562,0.11366260780691517,0.014756108405411979,-0.029927048265485826,1.635000803503698e-16,-1.5688808850357457e-16,1.9153873101151254e-16,-9.68324277528636e-17,-1.3613327465018049e-17,-8.007165403293257e-18,1.2625886459233814e-17,2.0062470587941483e-18,-3.3897528249248384e-18,-3.5332256226463214e-19,-7.106707371218099e-19,9.715897078476999e-18,4.0458573725853424e-17,9.408521333599505e-18,6.78643784254869e-17,5.834183783199124e-18,1.4240451668905602e-17
difference.touch_buttonCenter_y_mean,0.07897109157935837,0.1313472252874485,0.163437028327381,0.08434923445027467,0.13459732538828406,0.18109113716501637,-0.06799294076692364,-0.0027448371358030355,0.22786058973340728,0.06367545746877162,0.021606990641639266,0.02887085710859355,0.09367476338403538,0.01542771166266993,-0.017014119378120716,-0.06329926704004654,0.07860569017868871,0.03990515218863916,-0.0072213411275599895,0.040290389025938705,-0.024352798118529053,-0.02223507988248976,-0.10370672664446151,-0.11779036648529004,0.03863674193161487,0.007338240125235006,0.08211393512891355,-0.039664785719164444,-0.04352323302780288,-0.07465205331845716,0.10947614147886531,0.050480605635217085,0.006617664408431229,-0.06294182115892319,0.14478365163977744,-0.05420313134440618,-0.13695872964304562,0.04144607529574368,0.017951272581859065,0.0591524037635172,0.077402003759451,-0.02200212133411921,0.031120854323313712,-0.10647302555665852,0.008228176948781103,-0.0039053597068989254,-0.12746434336326312,0.035223155341828113,0.09512464972630771,-0.023287389234284604,0.04932345238127089,-0.02240855229228564,-0.1631397035578305,0.027293804601985577,-0.1380811517903765,0.05317193967264743,-0.06094692810094082,-0.10104876381848,0.1667368647353485,0.06257830877989035,0.04414728269605424,-0.06359774924667926,-0.09426266287198577,-0.07819457125683812,0.23307138991825402,-0.06199738548086958,0.08294417867252353,-0.030979169370795756,0.2800525298808963,-0.10185222021314054,-0.08380927195978596,-0.14663161845548586,0.105038233307734,0.46602872094925707,0.11083310158661297,0.16621128708363003,0.06263432579986852,-0.04041749820209923,-0.2563180728692305,-0.09234146972493286,0.027491669822796525,0.02378794246588417,-2.1496953917745267e-17,-3.353978662948355e-17,1.4349561765770662e-16,6.6028006413622e-17,4.0767787593826314e-17,1.1435933979623783e-17,-5.5422556100909515e-18,5.845465797493511e-18,-1.2793655505681906e-18,4.776883179642111e-18,-4.8798413728761065e-18,-1.811781533261044e-17,-5.189997615983008e-17,-1.0284924753585178e-17,-1.0927610377105636e-16,3.1082741443871735e-18,-2.2748474269308518e-17
touchAccuracy_mean,0.005550795832229188,-0.08291737681120298,-0.09718050138991775,0.09706290532474457,0.11622759245032177,-0.05339120690575036,0.12854665483625827,0.11993275263469233,-0.00039964907477157974,0.03537070137215039,-0.0437394487854304,0.4279728020137403,-0.005255172174964809,0.08701335488346901,-0.04001628098829031,-0.05594824786340699,-0.08865908392342922,0.0375309454229823,0.08673582227897855,-0.049015966207025134,0.04464359676404769,0.04665555959434442,-0.11330602835684794,0.005885002171354306,-0.047203369589029494,0.02301004529737618,0.0030327061006463624,0.08051045628939069,0.03176755837332713,0.15846874156403626,0.09601740115429136,0.09246600100882248,-0.18997687190983673,-0.09880458332284127,0.19131830706033218,0.31571360251063885,0.09870532184027267,-0.11412392068814715,-0.0067152924099593975,0.19194167151055036,0.1332031610400301,0.0903218139537231,-0.1126312463089298,0.02897720991870866,0.1844374012604462,0.0071521152810495505,-0.13626737769001715,-0.06540945580238612,-0.07212595033094049,-0.05741985599925856,0.0871260281885642,-0.05156318201781375,0.003852757743555986,-0.1664036833929769,0.11567148907491062,0.11201696093352603,0.02025729044347324,0.025152210739004414,-0.03246296760814272,-0.02879205738609497,-0.19885613103408772,-0.27939425745280505,0.023393551176008907,-0.005083679775314962,0.22480109541670928,0.13765374758935117,0.06354542997284565,-0.00532454386559046,-0.01761987926068117,-0.03252663999450678,-0.0644191335470604,0.026465217502741764,-0.08637900901248327,-0.11246358106924226,0.012165269145587382,0.012406556098928823,0.01995879521575747,-0.021525633281660947,-0.0360238341442767,0.06121793665441943,0.01838367489779766,-0.029841745156303584,1.727775122016979e-16,5.1562772158635857e-17,1.1937746181295892e-16,-1.3059674696122428e-17,-3.865723477455937e-18,1.7838364190855004e-18,8.521978486101008e-18,-3.3313314298050125e-18,-1.825555724475992e-18,2.3987913691725994e-18,-3.618082431180809e-18,1.2381032118751684e-17,1.123597671361291e-17,4.1411551676164036e-18,3.173040376289173e-17,3.1955330293224796e-18,9.358932864729438e-18
