,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
x_location.down_mean,0.03927001246472389,0.04026465219893974,0.25265091807601875,0.011350888732720825,0.002724738740078229,0.016338825661962784,-0.27235580220011685,-0.2702545132433001,0.007637232733186058,0.04225056231507583,-0.04648334332745261,-0.0681053401995922,0.18682309059330923,0.1055421296819828,-0.0945973489480507,-0.1772035678163173,-0.07846692146800666,-0.08617650147400094,-0.04464900254745836,-0.08254058740871072,0.1124510887781846,-0.10599311833446151,-0.05469623058515033,0.08995601975545446,-0.01802388729281489,0.0892267072010771,-0.10133342584734494,0.18340296210714782,-0.06824352923200377,-0.17328355045604701,0.05688245666144662,0.03138853660643486,-0.036198491685259696,-0.08316255131660794,0.059855314246390845,-0.38093256307243645,0.16968241607834936,-0.19999698613302236,0.15550483257453077,-0.20670855210776948,0.13176554453066078,-0.21864891514161258,0.08305238327393122,-0.06535325362260304,0.07208689377585253,0.005346215517284153,0.07352388754941061,0.1387267959492999,-0.1757989181654457,-0.03287154222076294,-0.011794406207362091,0.24536767668572254,0.01538784513996245,0.005809951972083285,-0.11420535363880709,0.03825197941321365,-0.04482536731724656,0.13904010478541004,-0.028348145546176144,-0.07505705980272374,-0.06564708330828913,-0.01570211397241525,0.015266394891075313,-0.02714719278984104,-0.05153499751437272
y_location.down_mean,-0.16650229253417165,0.09581537140925167,0.11129126130152467,0.07559166462761985,-0.015269956086145198,0.16261083041755603,-0.15717214668914886,0.058351763209883584,-0.03615561992347008,0.29733609209874695,0.13866973028597512,0.038244662300537274,-0.05776687632364177,0.033603127449521326,-0.01267535113533064,-0.0038122726485376353,-0.09679633945060986,0.13884470541573374,-0.15706630742420125,0.12457487279804967,0.05811122580860234,0.018429445087627207,-0.05668454221241229,0.02214014404138197,-0.00860389131885889,0.005295508844977908,0.004639309156041771,-0.12026157071817759,0.05509059349585091,-0.04565682754421739,-0.08644764477827184,0.03375742649155483,-0.15116284239637792,0.0854833421090698,-0.08377968247783331,0.050505666146544836,0.03207309091611905,-0.04697933127200743,-0.031158085134481067,0.11702560236178014,0.01744168752049062,-0.06809963948545297,-0.09553000725726812,-0.12344708126550946,-0.036114652364209396,0.13205681098103736,-0.008534505594526669,0.05912692977346296,0.09440522715453574,-0.16961341680326272,0.08321004233653886,0.1407743608599835,-0.364454372915579,-0.07554642877874138,0.36311704022190056,0.11605605027472302,0.06986585428299624,0.1362014460182694,-0.19083653158969216,0.08326294928879424,0.0878060648243146,-0.12909610152698772,0.27890227076321283,0.12418571346158777,0.16939224130898256
touch.duration_mean,0.06273940424120039,0.08507378650816413,-0.07245458799018714,0.2800689268935835,-0.19576502013475733,0.18943119225358093,0.009444679487207452,0.05846727935891155,0.09180322693057552,-0.17952411422238226,-0.018954508099623332,-8.437217003075953e-05,0.1163107898347811,-0.016696904045158528,-0.1013659336667744,0.008014526370245273,-0.028125352251514565,-0.06925945142373524,-0.15884456172925418,-0.286454691643447,-0.10168302209005425,0.21016986857523717,0.023217268421911685,0.024211360259213124,-0.14458749541894395,-0.12976823375803925,-0.1753815538633947,-0.08077332224710414,-0.013855346081731907,0.1859824076314275,-0.22585307213478187,-0.027857724571464793,-0.1393886328803675,0.3096107588158107,0.1298801893280091,-0.12571510565610264,0.0602926696103661,-0.2776505115948923,-0.10848932737447758,0.05021420457598413,-0.1510819452446192,0.01585624927898867,-0.09568332285656311,0.029558926359753,0.15922649202776643,-0.1242335799428289,-0.022590358212863253,-0.07960420981702365,0.012949295282564582,-0.00999906480413203,-0.16669139608945574,0.047808104987742336,0.07884455344942828,0.07028702059532888,0.09480124005728094,-0.10954731624067568,0.00016220812749873428,0.07891289568941753,-0.027922246669901778,0.04175886794212051,-0.08648228882226527,-0.10754146409802424,-0.11207731228719196,0.07101563043166814,0.023475358666625236
swipe_length_mean,-0.20323101626415174,-0.023571260273075823,-0.1329933908300307,-0.04415508534814901,-0.06165543697742651,-0.09631118354190672,0.14671945535815667,-0.14743662647364542,-0.05140971017359818,-0.08129414347363753,0.10934600342803855,-0.03587601687113427,0.001826218699158777,0.04066446770440968,0.003440316305476157,-0.034978652954449935,0.014218097465691651,-0.18414231543657505,-0.016994632003131283,-0.0558675916224388,0.11520265218003818,-0.05686568661100777,-0.125222261089598,0.12310169923507726,0.06897230757400045,-0.08506351476377488,0.0334805013926145,-0.00821292807049858,0.15348656860094076,0.03286081434936113,-0.12215662207897961,0.08314494344657301,0.11601001968394178,-0.053209559214013366,0.00926341879931507,-0.06929240235499977,-0.1674632302514587,-0.13916966290447214,0.030749891165916147,-0.07655617807089683,-0.12254682854522184,0.13131377986479487,0.003887410607566519,0.16760760248499335,-0.00795741391795464,-0.21974160416253538,-0.09831355235976275,-0.23116330262907983,-0.21267071055723613,0.18243306497538403,0.16330740527570195,0.04184644232246493,-0.2953679139254732,-0.04838183226372727,-0.07109152062024442,0.06964225471401787,-0.1452092838118023,0.09216920897280814,0.007097221016323402,-0.33817552308961607,0.16093556479448634,-0.09703755468518524,0.10128716029799414,0.11814528395359213,0.23473143925534826
button_touch_x_location_mean,-0.20424554451409443,-0.12947791561165767,0.01165475087676703,-0.04102776523511457,-0.05052626996300946,-0.02645697676678898,-0.15853665493233637,0.020807093223854378,-0.03301167794010058,-0.06478086833454984,-0.021006139074665017,-0.006111551971297383,0.07634784689562962,-0.09077615871122044,-0.036016868234031926,0.10004712045352859,-0.1328372378933045,-0.030220840468252394,0.08944303439533104,-0.09296304264840949,-0.1142471831090314,-0.10602457381904112,0.0752540623831895,0.005922039041961785,-0.03165566190369415,0.14566867841357445,0.09543453921669015,-0.05196986905434198,-0.07292929338376178,0.227519873146195,0.10321850400774393,0.1575231007087415,-0.2261853270454509,0.24455857111434,0.061455617955257266,0.09440692525132663,-0.008233712857665696,0.10650682099065681,-0.09291748576598492,-0.1508453484659756,-0.0036643589069874985,-0.30557169646669263,0.147358837360613,0.22349603256138478,0.05714077040287793,0.15660488049519078,0.064698385395393,0.14306278878910428,-0.0848536144062699,0.0662588561395394,0.04545247385385754,-0.2100104553662984,-0.3368645638647149,-0.015642590055151596,0.06129251255315857,-0.1458506602530916,-0.025455285186450495,-0.10638200796537689,0.020404806854085265,-0.2361325415788169,-0.12396425612652283,0.0304343979835143,-0.07614556567882574,-0.0019512256944939736,-0.13139226630010598
button_touch_y_location_mean,-0.22006845732920224,-0.09147877477261546,-0.045702369242496765,0.0483420597195176,0.05458627957103881,0.02356147900069736,-0.07111952357817491,-0.08537359269392003,0.09143618313078468,-0.03520258580313432,0.10136797177405005,-0.025248923315666916,-0.052569065199081305,-0.117312783134038,0.027095215298823205,-0.077669039508855,-0.018075411559451145,0.037463789693648976,0.13155537154427505,-0.12347326340792791,-0.09836886064440199,0.004786914804659495,-0.0122987230623436,0.016884256247008483,-0.16556648363638327,-0.01696660993957992,0.08595411160496877,-0.10017680800702226,-0.3030282791474673,0.09586208564403012,-0.04256349658786183,0.1154950372373374,-0.06394849780805462,-0.025577513309189517,-0.11101604381334065,-0.02507503624806992,-0.048145833693793286,-0.05273621208902067,0.056488650040873944,-0.18609994698069218,-0.027708588795629607,-0.040708321554444274,-0.1257972126805238,0.03567009079283485,-0.1579134147981117,0.008312321348828833,-0.27153515966321645,-0.040592664996927263,-0.30806115218758034,-0.17478266190746783,0.1709764418155519,-0.009048593837744118,0.17841464921411454,-0.0324165581633248,0.018687370959912714,0.15265223554255067,-0.057189406048223645,-0.1245152277515276,0.2754704011001547,0.3829903086701454,0.07870480742193915,-0.1279176002766513,0.12669196230377533,-0.03826087173113215,0.01187979731699293
time_between_touches_mean,-0.1125614499499155,-0.0863497299779841,-0.06750863973389595,0.13990853320126315,-0.11593407096057906,0.12106785043497087,-0.07644722123690267,0.04788349426924089,-0.019838970838893268,0.029596648518673725,0.04423861865904778,0.1265643252185795,-0.1930619875579725,0.36633656786914137,0.022971154674873845,-0.060365795053462123,-0.15595046147390207,-0.22489822375867397,-0.1664263614395628,0.07905100162026622,-0.19213687523647896,-0.0656128423805301,0.21780502436364263,-0.01909268386325188,0.08980431465436284,-0.0881667639440685,-0.28486278277269317,0.03406614159693036,-0.18389976703728692,-0.03589356225423948,0.07685659544038495,0.2492519620457951,0.11301697268684283,-0.2998994183275375,-0.09505657748220112,-0.06527002426152168,-0.06428439532106164,0.21755866761580137,-0.06887153486832917,-0.030551026213618188,0.06270300167571351,0.0010830144455863458,-0.028529099796189922,0.019329227986930677,0.17997786712596986,-0.006055660306270572,-0.028390594096685977,-0.05504052163589572,0.028457375008884733,0.05403763182958314,-0.06755431962472634,-0.14124956028580232,0.004609927495112751,-0.0020005739299515718,0.10550913282986271,-0.05848220556927454,0.011200602808362187,0.16441071438773328,0.1478051286203613,0.01913112252281292,-0.032755628725444255,-0.05518124100893579,-0.07232199295048576,0.0931147609578479,-0.026691441874969496
x_location.release_mean,0.03891731354244734,0.08565465852187139,0.2085298799799453,0.03188592998934253,0.11248096946598601,-0.10592103980791859,-0.15351841169641428,-0.37822635818205674,-0.054393315458231825,-0.04806409482745401,-0.03786049813205487,-0.03476442674773207,0.23756809419014374,0.0392351325899637,-0.040336801297685757,-0.20812751772103724,-0.036518012394555543,-0.031075714617713024,-0.06463300611538396,-0.12127160813631324,0.0020393870893126442,-0.05938974292005067,0.061564225782437185,-0.175242769648646,-0.045328569446395524,0.026580931249744963,-0.06989947749728125,-0.06037684838371633,0.020680294708688256,-0.06703099049637495,-0.2308815429817319,-0.04388855761140961,-0.044325491976337485,-0.04415438087029948,-0.12031026572960521,0.1062652612621311,-0.08449526315611788,0.18756722383782626,-0.05047735391916666,0.23180035639205843,-0.07217686598356016,0.033634759067778366,-0.16173564315675718,-0.05365941600023829,0.14651614743764585,0.0030055997766711153,-0.12812141072116226,-0.00667414888276352,0.12716157275355783,0.044828501152014394,-0.022154263783345125,-0.22730398042766758,-0.22037822889727265,0.22752034094265003,-0.1975745928666526,-0.019041211523237483,-0.026230183365521395,-0.27091760057544156,0.02136384843885565,0.11971049359575288,0.07140040389547034,-0.012283657527116191,-0.00274490943818231,0.04545639091486077,0.0824713576269896
y_location.release_mean,-0.22524511621294246,0.044153632818479616,-0.041361715691074184,0.034864969484112995,-0.050988491151844596,0.023637055226012657,0.04722653328680035,-0.08855458925102955,-0.12989076973841196,0.04982443987742338,0.18229155623681192,0.038903514213735446,-0.04367323035982301,0.03494532990913335,0.08409179683174256,0.0008737723750590204,0.027783534444679066,-0.022430007234945912,-0.04360260071279944,-0.08173282081987726,0.05056781991369663,-0.08423623525578536,-0.06551831759642862,0.07885864281076634,0.15135366957363816,0.04098287849193208,0.11830371492486036,-0.030175996420461815,0.23473687444982383,0.18225011857906198,-0.10520271378935675,0.15528522370488593,0.022741798896988977,0.012874555833345742,-0.11320926428916295,0.013781837420075077,0.05478387632616011,-0.08973988051678419,-0.0995937690038256,0.04915487305510251,0.059823689410540656,-0.08906242389670713,-0.010726018724467004,-0.23521640315402945,-0.010175657623672882,-0.14722888144220647,-0.20950019565327205,0.2569693640918122,0.10370257420155019,0.04528263208129839,-0.046652050765587705,0.10863720452323837,-0.00138372459747034,-0.12192004249119717,-0.13116502041611472,-0.3469030282716841,-0.10681114864089952,0.1427887297136374,0.08023839627958405,0.21119809941371787,0.10811426421250038,0.3175806282860922,-0.12327943529931294,-0.19236008313763608,-0.10644302225133706
difference.touch_buttonCenter_x_mean,-0.18284966700315541,0.1777178568069801,0.156896557008327,0.0387432518871934,0.0077776652647587805,0.049609704244653406,0.03014542283044427,0.02209519518913839,-0.07596530343115224,0.021549961986388602,0.016366705678432892,-0.013180031388255246,0.13230664391021554,0.02178827657594938,-0.009118712953176877,0.14605851998922997,0.013617292535477978,-0.0806890642879334,0.07541313629905476,-0.021612273635404827,0.11730375690631925,0.013503151647877645,-0.005152315622995906,0.06422836126326896,-0.09269353854952839,0.012200158981049824,-0.18727605135168168,0.08522502290242252,-0.010044551594297055,0.045792030833074815,-0.007412546764243348,-0.019847306292799904,0.1761199033727217,-0.09584271837328745,0.2941531663446394,0.20400696956679004,0.13883909216314064,-0.1301682873837109,-0.0911264680733475,0.011492652831438369,0.02627458220225934,0.1113749167470602,0.07924953843061422,0.1043196850739102,0.025705505753317613,0.21353474194344207,0.2949136471822205,-0.07750455551161617,-0.028641775248868045,0.05873893346817392,0.12995698095876765,-0.0534236079372196,0.023815469462569558,0.05444491985871611,-0.03474486075513032,-0.25135857528050454,0.023962818128412507,-0.009659781043861802,0.16907210002543838,0.1776663451608042,0.36470311889738194,-0.06767163372717183,0.22776679180060216,0.07517651351210487,-0.20936847928772484
