,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
button_touch_x_location_count,-0.14763219027920868,-0.17424368940420418,-0.21222253227599938,0.011464176306996405,-0.06992922332729784,0.02427517402843375,-0.05626698900015706,-0.024331047464750306,-0.00010224053641871873,-0.08935566601242614,-0.07613097740926622,0.020207450179332148,-0.11131227975999564,-0.025971120374708983,0.09004272008427375,-0.05156142496722137,0.06543399379435995,-0.029150356448652333,-0.16230279457694768,0.14898156908308527,-0.001005000927128784,-0.0019292325617407081,0.08278777320636123,-0.06399575068520692,0.061843473899987456,-0.003313582665747805,-0.05033902487910363,-0.054365225083974275,-0.06824580512226283,-0.03273525923752202,0.03719537254190814,-0.10040613946992402,0.12624684005728357,-0.006555497796761769,0.05234157443600875,-0.05894203775599232,0.0010155679889215193,-0.13688351261605478,0.06355181773626598,-0.023032649862482876,0.039626862529049026,-0.009056439254336968,0.045836403281064475,-0.050126369880798854,0.06956165837281664,0.09790562574481655,-0.024303138783823012,0.15539380413824935,-0.04170067811411065,0.043892621494844096,0.012510998331501124,-0.13533063719565394,0.16240896086667256,0.14118255627691742,-0.04402910384802858,-0.09202510860437892,0.04769224650363564,0.014804350129879615,-0.08442855026527385,0.057162345641906066,-0.030251496146591218,-0.024638593916177013,-0.04953133523656995,-0.036502109229072766,0.03573582924675955,-0.05532536316445235,0.0010696699323603032,0.009030387989860588,-0.012049823904274448,0.042865695392009184,-0.039791200984210004,-0.025841473205915774,-0.015546480949066428,-0.039066054597200285,0.03983291996477754,0.0028999831535523367,-0.032697652402319616,-0.13326018043004734,-0.07471369660876748,0.04595178375125299,-0.10664346826523032,-0.11818224735142434,-0.7158319493745592
button_touch_x_location_kurt,0.06707518512437849,0.012751018270345804,-0.0596569440467557,0.22741181438523111,-0.16151597079479701,0.06827142601360864,0.09938093402063894,0.08321342253272895,0.020300697559198104,-0.08508960545924821,-0.05166213626498837,-0.2521277743358205,-0.09253571641134806,0.037835737441069064,0.030929506187876606,0.14245237639144512,-0.20167450296975706,0.17191268596127723,-0.023488422014133346,0.046354224843125034,-0.024751972255107224,0.04857628678144801,0.09574690597801687,-0.0909169011560401,0.11731478425172708,0.07090040687833889,0.19627150455739012,0.01639158792627702,0.008943841986620219,-0.02514524764468593,0.06217172891399514,-0.21580459088924003,-0.06006540889386206,-0.11354577394046131,0.04080982016651992,0.07774830805109771,0.002687082827997066,0.1411305102025392,0.048481454619843274,-0.049764222840387444,0.09149769967469791,-0.04610451797359759,-0.07768604463530428,0.06578183713747429,0.031233002300853012,0.12382880175318926,0.08610379404343903,-0.05944595783437064,-0.054264978419662185,-0.18392317176509868,0.12156902055378602,0.04308212177248828,-0.33142887069568017,0.03305923211364924,-0.10495626657603625,-0.18502870466744853,0.16994906835494353,-0.08081376931538586,0.0699034522625223,-0.03503630078946895,0.05141627919015621,0.22969682028943553,0.04728076614619847,0.06055842797698028,0.08033058896675095,0.008463923902414537,-0.014847052388555545,0.09069456006304571,-0.010333251585877012,0.11891730517047377,-0.10447030987433206,0.11470298890012001,-0.14383048801580722,0.027911183894822302,0.026095238295298057,0.05841339898794757,-0.016422980849644716,-0.21836171363016402,-0.05741816820349241,-0.15489626326885184,0.022775258448102978,0.14503929980803215,-0.012710008291646424
button_touch_x_location_mad,-0.23969663622491544,-0.11463616438480193,0.04422795366991389,-0.01941893088643037,0.0971358104372132,-0.053915832070302816,-0.0664574194911354,-0.0688165835925076,-0.07629032377839932,-0.017566292929013377,-0.06255177241890852,0.0951034279991138,-0.013905136863235495,-0.04878884077016057,-0.07667299771820255,-0.07710211664295115,0.13683954348340413,-0.007258224289981213,-0.0028694303243964325,-0.06270391591754407,-0.00920270560099012,-0.027911864050460727,-0.09435127143812153,0.017782651957988116,-0.05621449644447055,0.0006783770186029304,-0.08771741056170154,0.004082523277590677,0.029322456341934096,0.05443955276464863,-0.10442363344352519,0.05829093512273735,0.0010078794831820462,0.12893908600075094,-0.012321964216948984,0.060186146735617604,-0.059226425882443576,-0.06283194035738156,-0.11931731104933258,0.02716371097792534,0.04621329980092544,-0.0329514397691515,-0.044428072078851445,-0.035092799861340396,-0.050303799423085785,-0.040673942149018816,-0.008798039675182567,-0.00854150901159155,0.007757282647561062,0.15299058026560575,-0.027253576814452337,-0.11550951684496556,0.08210825642557758,-0.13557220947448584,0.06687646475635124,0.09205255742156768,-0.07963248768717908,0.07155130794332037,-0.04624312129247958,0.06602443608591248,0.02611281345064584,0.03685844222844361,0.11314520042864283,0.14718796079248286,-0.02809108893438663,0.04312636157486178,-0.05640596781414146,0.0386288545148727,0.016590210562044454,0.18813410648118814,-0.21027026915601654,0.23448462894558453,-0.08367983772817977,0.012132568242134979,0.09223902368703471,0.03649892318115532,0.0011972754129307966,-0.4919823459367669,-0.11560575800393413,-0.36866065609780013,0.12290570056514061,0.23970014498827283,0.05962061597714785
button_touch_x_location_min,-0.06413715176250762,0.14772002601689893,-0.0932049013154107,0.07834858000368045,0.0019987119995453495,0.10464901358650974,-0.026330460231400288,-0.02395763445598465,0.016517434460171218,-0.12353595642521847,0.06089583757573509,0.32086859122207556,0.21293481060940586,0.2381975162542839,0.08071311833545888,0.14205004524384476,-0.01373810241601027,0.02420520859375272,-0.09974877875144461,-0.06802924409519978,0.05034846245761261,0.04533128845823119,0.06794142617143678,-0.003980555323870358,0.028646919313652208,-0.01427165101870877,-0.0046252563547138775,0.01785663954128354,-0.026495770917045594,0.0884558076279885,-0.08561192631068025,-0.025112864868079843,0.006533835190233178,0.15908102773740232,-0.05720090698277826,0.08889639636039974,0.12299627092662378,0.04446430371138155,0.26828590798332713,0.10226729072612115,-0.1317224362751989,0.1080230303387961,-0.06018654788658634,-0.10230241667024692,-0.1207921728996026,0.07068667244448398,-0.13382315666919972,-0.07612479707131975,0.04583448933018004,0.2270327626205283,-0.12895870773565288,0.09893982332266331,-0.11370837486981253,0.3690678861623737,0.261862321612677,-0.2784964803169522,-0.07929634496499359,-0.04015417706096457,0.08439753771027268,0.003590435810986531,-0.0541693887780106,0.008773470830519783,0.08464387312006647,0.007938189817849696,0.04462001311652835,0.04408719723835415,-0.017794377959833758,-0.05093290973996015,-0.10513398505866092,0.07213271310064173,0.0327665120939889,0.01283736477614285,-0.007626617406949576,0.036797510531813314,-0.00316582953761119,-0.0063272869856585544,-0.016819655710134527,-0.034964278378669375,-0.023706942431662777,-0.0405253755195522,0.009334480445059037,0.021592283653046218,0.02188744487077443
button_touch_y_location_kurt,0.13847990897295695,0.011764357934484715,-0.10734521029223434,0.17553501614741204,-0.02745167119874059,0.07815692603987959,0.10618168181210408,0.02828188080683075,0.05388893404213384,-0.14144478131561766,-0.08634384565462319,-0.19350060623659035,-0.10624734516959923,-0.007369155781267418,-0.014869369910816221,0.12820491737103878,-0.1271192548809444,0.10220042828502993,-0.06966261290246811,-0.05836926905232964,0.06067285714016167,0.10568217846776395,0.15202068128294838,0.07961431609043992,-0.025162973696473828,-0.05593349898839514,0.19639122131152728,-0.09062291455983068,-0.060582880102806394,-0.020820081039663346,-0.05056753413510906,-0.1885681769499229,-0.054010279773178266,-0.12953137054408784,-0.08858291219843914,0.034349491655027445,0.03554483091935213,0.06184977038522438,-0.017791125743965852,-0.03425612303084976,-0.08369849883061467,-0.05804692781647577,-0.09288281265862916,0.1269238145886073,-0.2243969686583967,-0.12556709376533054,-0.0026745770214260875,0.17060649845822987,0.04899482054301199,0.3532492556673578,0.047985686656934826,0.005783238459672296,0.34496512085164477,-0.15936430218300385,0.12368374152409499,0.09760219188777206,-0.2792588298713718,-0.03961502190799379,0.05400000167525211,-0.02153971331353349,0.0018455661290684103,-0.1216434619344437,-0.05622629762773165,-0.12755633431034905,-0.17629517393710575,-0.04334016472374369,-0.09654972458900199,-0.09805102778673372,-0.0015362766045864164,0.07325554651552639,-0.04705861897520486,-0.03006720648982337,-0.0017211720379632204,0.005284746198712603,-0.0587985222957988,0.013099590601661052,0.04640920431378332,-0.03831218474868921,0.02899754237554497,-0.012152931852188362,0.018595520546462685,-0.019612115432349055,0.02717487426626944
button_touch_y_location_min,-0.0654698221447594,0.15151809425001006,-0.08618829705013209,0.07086796858369282,-0.004906081271290372,0.1384442708550181,-0.0517287545082461,-0.02936785246201528,0.03317078910138206,-0.1312296809073613,0.03527750976273225,0.31981798495511343,0.18729584488181114,0.22030812169553793,0.1133391419202508,0.15660745983591062,-0.0024979882825812566,0.034476348290858785,-0.09577263942605105,-0.0390860476976598,0.05378736144087264,0.053576591536590674,0.02845539698894855,0.05284680718654021,0.10155259079132911,-0.0720261482095711,0.019874747090496657,-0.006849773949890572,0.05479697922348457,-0.008597341051880515,-0.09904195111083751,-0.044360402755836914,0.03342290643227608,0.1530428055993125,-0.035201933566057685,0.10653958877804866,0.021151348306719324,0.017219915661691843,0.21280042530787627,0.10245060872334412,-0.010095623858917921,0.014437531016709543,-0.11505917336910573,-0.0770687906943718,0.16781754242832514,-0.005933871443862246,0.06478288483087193,0.03891199282620089,0.03328161878510001,-0.166800080592316,0.264886685504895,-0.0633597622424318,0.13047421011206495,-0.3843295749170072,-0.34808041390110356,0.23351219513885035,0.08389244694467855,-0.01823401218849171,-0.02530577899887388,-0.07500536991056093,0.04229570795064125,0.004626100046986884,-0.04603121373375545,-0.013432418640354342,-0.06223502310248209,-0.009652365390424147,-0.012277617987838703,0.03737375795384366,0.1323839266006557,0.01022028182377395,0.024392956635037166,-0.0462985140126733,-0.010991152172387669,-0.07238092157724389,0.021475726962318736,0.025642626782996048,0.03641095607741709,-0.004032535577814452,-0.00448982081401663,0.011315619819287385,0.011643257529971661,0.01746781778250191,-0.007955657502145635
difference.touch_buttonCenter_x_kurt,-0.09306124441622743,-0.17610649096958159,0.10642538682217328,-0.016633059494825422,-0.05877075769781259,-0.10574787491142604,0.015870261707237654,-0.058850879511554884,0.12745264945750417,0.12789384684223204,0.024504003658663794,-0.09097101797071853,-0.06067256525685499,0.1433663342957302,-0.04353893431450262,0.07509374136047166,-0.19064193500340865,-0.05777905731166474,-0.09276594514164614,-0.08792222873699376,0.08340742306683725,0.02968542524212639,0.1465172708616837,0.13168223501168574,0.06704717903312224,-0.08837192340003931,-0.05788911074843264,0.030703553306711574,0.24817016960708427,-0.21103363278459067,-0.233644103862033,0.03474513353319746,0.05497572232380177,-0.02382274253206038,0.003979368908907377,-0.11758008572495561,0.019934288687391177,0.01953428299354415,-0.09674827165188249,0.1739802096264585,0.1789487957555474,0.12183852649613235,-0.03480059628734251,-0.1339330990503389,-0.12692454867420006,0.19957432186452503,-0.3016590242222073,-0.04335451128882556,0.032538151739272214,0.16038619420912228,-0.1351980857624625,0.015996905999130367,-0.16860512362513663,-0.22613706190786345,0.026742685932267404,-0.00937131669601568,0.16612725122737482,-0.1834303127827597,-0.16888487280283107,-0.040997332303451914,-0.02796957196963936,-0.08774484603627788,-0.06082564978071231,-0.2033669017277963,0.07245021189010173,-0.0869024629678957,0.09105908998068384,-0.005041438268053987,0.05574118221349911,-0.004221904119999877,-0.008669697246130006,-0.02911263931990831,-0.03398824481223223,-0.06615657385450603,0.01648521276044003,-0.02814270669859205,-0.008324060150820151,-0.007327783211683192,0.0019748976142155146,-0.015537928333884498,0.0069172291412125785,-0.01677104790831703,-0.011669905295660116
difference.touch_buttonCenter_x_mad,-0.0917026305394034,-0.20301253273783898,0.18210632363524126,0.14517515945652193,0.03509086576528814,0.021029772291977458,0.003129004253040635,-0.012557339837480933,-0.019744540049732775,0.029540071055528305,-0.04331935135005077,0.027147387044391784,0.024355385434604138,0.11778882375265332,0.08305041500990426,0.02856279511111553,0.04017869968692035,0.03957074216088566,0.07509071344349932,-0.08050372525136495,-0.038321330469115636,-0.08963600459266474,0.10276002451641134,-0.03672748159094712,0.15014561319951011,-0.0770666326877332,-0.007503440901362277,-0.01698474421323326,0.12816467176452745,0.031976109920842495,-0.2302759627322086,-0.09618126271260075,-0.13220627252066375,-0.11672496162842039,0.03722380992412246,0.07737240487116091,-0.06150859874218578,-0.07553992211107467,0.024725782596593755,-0.029937382032793405,0.02817757488522433,-0.08981068830848167,-0.08788723772042231,0.022889718298344963,-0.06692505509213313,-0.12074003681320103,0.20756638215106793,0.045125886995551645,-0.0586652183636049,-0.0024470239005910804,-0.04581923671399268,0.17956642372317638,0.005576519807956398,0.21125452195133487,-0.08936330603215416,-0.05431211720273365,0.012560577930491694,0.22994659355082722,-0.23305266053493756,0.006695726001239036,0.09987940943308521,-0.08038377039319955,-0.07875419380742796,0.07901481279683881,-0.31920630278868256,0.12970491162671804,0.3795954608297586,0.0932547757318561,0.05919311876942636,0.11276970918310998,-0.07448800871614766,0.09850845771885162,0.08754760375664106,-0.06688851208652856,0.03748115819029005,-0.10910724050289708,-0.11775947565834376,0.09451160453240653,0.07143033631846768,0.06836234529068917,-0.00028426893978772015,-0.039224141320239964,0.003961327355281569
difference.touch_buttonCenter_x_median,-0.1167801609492372,-0.12710211440692362,0.041795666916815834,0.224380001017483,0.059808866563616135,0.0646906091456858,0.018245468823906097,0.008690957280242037,-0.08639378223471186,-0.08688223255136218,-0.10417002001812166,-0.007606587313619288,-0.04960357355389991,-0.06725348461518886,0.0629824561777885,0.04834075982442401,0.14759271842989408,0.16295914720761218,0.0321902361230805,-0.02844824970817282,-0.04435245472614265,-0.11958909977708843,-0.015991542510981546,-0.09169420044531948,0.03443880914485942,0.12332017412655652,0.07819150178252593,0.1725877961819352,-0.05187293770257308,0.02672703373688231,-0.22603193406611766,-0.0824222108723067,0.053150516807425885,0.09350716535728645,-0.026113581911082567,0.16427097323088885,-0.18570041014181382,-0.05858764922742437,-0.012075525948850231,-0.1455334103706481,0.0033172062583728228,-0.05844517879733148,0.009757649452147382,-0.04537549410036977,0.25377992677787725,-0.3066838981972419,0.03549494393877066,-0.22153332166269563,0.20834081661976256,0.16533829885943035,-0.22059168543834895,-0.19732808095563553,-0.04935041084816208,-0.1405686093208161,0.12328925436964884,-0.0521689403432813,0.08369352917792545,-0.21580231477653572,-0.030257597071867495,-0.12281736476328246,-0.007823869653485221,0.1083547496423434,-0.11303738705144789,-0.07364932777206858,0.1636292617543736,-0.00956176920267069,-0.02518217641031777,-0.0038791326411554377,-0.010132519389524874,-0.08675105660205863,0.022434783523972525,-0.04284492977428325,-0.004213643316804209,0.047795367582394443,-0.02219687904088565,0.020731060591602176,0.015277963257274476,0.12507618861160283,-0.014923029601618443,0.09840347243882167,-0.03379539298879651,-0.059070363259499756,0.004460307052245829
difference.touch_buttonCenter_x_min,0.028277490285421036,0.0463125795604581,0.06051112216600525,0.1324761641596317,0.15097926067418294,0.06950838789672137,0.08245672648147451,0.11771266830826144,-1.0250449543520415e-05,0.10463449101871711,-0.022198443859196615,-0.08444638216474054,0.028017436925906282,-0.015921246844057293,0.12068328288402762,-0.013388561840445914,0.15990863572887665,-0.0023223088762773653,-0.023662793049639613,-0.015762287059927216,0.028747657688310953,-0.11480583345857195,-0.15277406237200078,0.08969228614164593,0.0671600146833628,0.312367803134652,0.33795083883094434,0.26214223673836845,-0.1663800017255405,-0.16838699304441113,-0.2589173661354225,0.25304078641757694,0.3282937965384763,-0.012939845643024415,-0.14399439302572606,-0.23307755731113733,0.1171245608930464,0.0885368938391389,0.13245251331022878,0.047087175687565055,0.1696174195340805,-0.0030019979972113545,0.04760512953781035,-0.03171342888037566,-0.08761274992702872,0.10194031726372198,0.05998613765972395,0.04687130101213531,-0.13201595721183973,-0.0036459987740576176,0.08753506489848617,0.001750010383865408,0.013644603113056236,0.07770621792866848,-0.06303595817282145,0.043183653146895,-0.09565275242990968,0.012840729604195265,0.008808931342284151,0.04201951921723401,-0.06557228849376566,-0.031386470209457104,-0.012964853063623064,0.02263601583049494,-0.06036700451963601,0.0027014704080651555,0.018157997812001392,-0.013123856832517718,-0.034206336471141234,0.04802149235771257,0.006114602831118643,0.009376229987959905,0.015306393480351416,-0.03562794244338015,0.03994587328483661,-0.02296905685421979,0.02879720674592837,-0.004214862656435878,-0.020884448058224155,-0.03466153419293417,0.02277471049547015,0.008028054917012823,-0.018339211405993816
