,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
button_touch_x_location_count,0.20845319577767865,0.056124649823036374,0.0004588084498980339,-0.010849872489444976,-0.011678382467761554,0.008983680679123831,0.026640664464687453,-0.045817373489721376,0.008506999165964898,-0.019311610583957424,0.004151627120275286,0.02809043583410931,0.004590886353098719,-0.017703570789905403,0.020975915553726833,0.014365236886841319,0.014002255754833026,0.011106081082720957,0.0027722044060975305,-0.004313735325440797,-0.004238058419504514,-0.007905656035197972,-0.004525776445448258,0.009050338098737834,0.0059397953209410674,-0.01543714646702981,0.0030246443256623057,-0.007671043284696705,-0.0016206608392206668,-0.006074148652329362,-0.00597180842458748,-0.006978301951955074,-0.016774814827001043,0.0076630476920931155,-0.013685082091405258,-0.00449374587094897,0.00368239889027475,-0.006730817572570896,0.011336857040924143,-0.00792862346629741,0.0027841896846621307,-0.013012789393036963,-0.008796163585165584,-0.0014097551058534802,-0.004809975715250987,0.0020674875957371747,-0.007104871706936916,0.017214345086376,0.0021619985026128507,0.012774008048765875,0.019497538077482394,-0.012303789831952077,0.002060186634359223,0.002575537716116682,0.0013302213690489584,0.0074070330047397905,0.003278925081952917,-0.0007526154781810547,-0.0006432924610681156,-0.004019672114597814,-0.005416775051298817,0.0043875968887891244,-0.0005734101079600965,-0.0003139914353843584,0.0018304753299236399,0.005507261315795651,0.0013852382295758423,0.0042746078765363155,0.001811107819869821,-0.011865392143627803,0.005664331948578409,-0.0004353504163959388,0.0009361652285214353,-0.005390732391923875,-0.0052603051640049345,-0.0016318386848862966,-0.00010844918821991057,0.002942842769615547,0.0018623839199011188,-0.0005820927820688615,-0.0017898512774245782,0.0006540014025510094,-0.000937124925093148,0.0016135091256945047,-0.08789536188875616,-0.9678423682619443,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
button_touch_x_location_kurt,-0.04046329907435042,0.19170260077476559,0.055375764655786905,0.13485404685367622,-0.08477935634285515,-0.08117160823418719,0.05527438708033068,-0.03371121339749101,-0.02460408690229491,-0.016687285735512265,0.006213376949789226,-0.047301939701870424,0.04319679494344016,0.08800848671140044,0.007409345849246147,0.035776078208843196,-0.025428851719546702,-0.2071834928097979,0.1805523474515598,-0.06570724000331937,0.08051436972006876,-0.24908703375347657,-0.1266859706164347,0.12606483312472236,-0.034790350022052656,-0.018835594461455683,-0.03486621296762412,0.042513965926103854,-0.03260309378311635,-0.18714999830016696,-0.09095739194696795,0.08708927524807666,0.0008892491498396207,-0.047188806463491106,0.174502997755069,-0.2406824020499889,-0.0492393569563254,0.06229599358154323,-0.12856172327728702,-0.046178950840477115,0.045266149376735634,0.03523279298792689,0.053938185639482175,0.10129644287068622,-0.12951166085570567,0.01562555029253728,0.11438137543878478,-0.10585898338584954,0.10125890262895296,0.03421930520048746,-0.07013595576253089,-0.010373346518566992,0.05841890672589478,-0.11349630917907637,-0.07897300332963747,0.22560003258721467,0.17266582270578515,-0.1178357419683151,0.12830014334315795,-0.050385461292249814,-0.1922566793853324,-0.22798190040008937,0.27117368890391774,-0.15339417663879865,-0.24411882722587105,0.09023583387496734,-0.02198480132010591,-0.049308214909906854,0.03759568954792946,-0.12393578380660802,-0.08222376237865292,-0.15040251703447174,0.020337692700793483,0.009002660294494261,0.050804150005668014,0.10341213745762427,0.06625493105711765,-0.07254664351001354,0.08925184757070821,0.06958054950044212,0.06454989999709425,0.031371270910793336,0.02475240747714356,-0.008760365293640437,-6.83481049534862e-16,-0.0,2.3585796664226766e-16,-2.4493080506877375e-16,1.301562037091689e-16,2.2392022655166845e-16,1.350898425408595e-16,2.2108169573852266e-16,-2.796872649778818e-16,1.5146960874720836e-16,-2.1568361318978864e-17,1.4130009290480548e-16,1.5110460362610815e-16,-5.2540130948256026e-17,1.765887743737144e-16,6.3315122670863085e-18,-1.1881047401212999e-17
button_touch_x_location_mad,0.09407109843266881,-0.19332771891922795,0.1823524488686186,0.0357858179764054,0.08010121580204614,0.0014620112268036167,-0.06352872399567466,-0.040852375796376295,0.04495056941954595,-0.02075198704370651,0.03750178980874215,-0.0037249106038826363,-0.08781066412575886,0.07347506732169186,0.014957528222246538,-0.13595069564150647,-0.10766536841793185,-0.011709441030436439,-0.027806077759303282,-0.02618665427201817,-0.09373894046952425,0.029888797011576373,0.008870338607885355,0.029888653093285485,0.028089241940317547,0.017927012492510656,0.04162362417436269,0.01689773734148621,-0.08447427888323031,-0.0021098373630691267,-0.0066398207869517965,0.028864467859628595,-0.020590141793391192,-0.054898134816070046,0.06740224996253637,0.15936308056855783,-0.05511494956153854,0.0394739883335489,-0.10932841550230381,0.059871844391327825,0.0388163453865135,0.019337509502919934,-0.057187306326656785,-0.09586506927165747,0.055945598217862935,-0.0008504537796120526,0.08590789875101587,-0.013426738739462325,-0.13786387827748778,0.033754996653467484,0.05647584288388284,0.11059827090860713,-0.07155686147107036,-0.010966110605171954,0.006776473571274961,-0.09766058448061428,0.051939907877762724,0.02411768065055633,-0.10457595327647795,0.005652630514350633,0.09611157226371611,0.058470044068518495,0.03205818865512071,-0.07682569075679603,-0.07008649754060925,-0.03741772779817144,0.13373365735897985,0.10513959855878492,0.11031408909492385,-0.07245889614923738,0.06332952369734623,-0.09749777551045814,0.09451414467751286,0.13628258155076717,0.02072297418428396,0.24161711155179344,0.3072807543303555,0.19620587825690436,0.21513141928300572,0.2715459140542513,0.06090379964037842,0.5104710875266103,-0.05364984703779499,0.03272685156091562,1.48318857196017e-16,2.7755575615628914e-17,1.488826779958834e-16,-7.989946212110281e-17,-1.9793635264614666e-17,-3.912957191135681e-17,-4.9601126895454733e-17,1.4804561657295952e-16,-2.7502247050653107e-16,-1.8798951088906122e-16,-4.2811422765856316e-16,4.025328589891483e-16,-1.2070980416760162e-16,-1.9619208737256024e-16,2.7970343108322067e-16,-2.64998096941865e-16,-3.2146214692915283e-17
button_touch_x_location_min,0.011698637196997687,-0.044004997934770085,-0.05817206529711951,0.15388743088882811,0.04994666782464653,0.08693131401351706,0.061346454169110054,-0.17231192972995224,-0.11934162093872798,0.2874221128617109,-0.015363034629913425,-0.19204414459191899,-0.008993337858625501,-0.26139191686282476,-0.12630999155643968,-0.02935730753745594,0.10428207758090309,0.051040785850243076,0.12516268782896084,-0.05962840287319452,0.04795038080738838,0.027101315433782715,0.006958381418954027,-0.033556861543909064,0.08785502273646666,0.014222898300084066,0.006118184881800267,0.007681541223083045,-0.026621922732380156,-0.026289355371633086,-0.010198047629850743,-0.012329918330260432,-0.026212570632329207,-0.12691779853947305,0.11486657434459463,0.1839311216270546,-0.020630759028174805,0.018059836860428655,0.2042971403964045,0.14779778732306706,0.07109995291477186,0.004672532166890404,0.017890324917921915,0.20399412719589138,0.006409500598673715,-0.058999599463444546,0.00417082763718906,0.0686687734045648,-0.01746968019922744,0.13298044979544596,-0.07676620099149689,0.11802987111795153,0.2790325926285814,0.03151094365156989,0.5668504719812199,0.12355617813744259,0.012937847538744343,0.094577528898038,0.03422231796428625,-0.015097877046483382,-0.03621698166671364,-0.020292714237795422,0.02846821111166549,-0.007478884804208059,-0.06895431935556914,-0.017493007096714853,-0.0012588185744278836,-0.004070550301931903,-0.036771090173666324,-0.03610440393395785,7.70923830547385e-05,0.00994934585161592,-0.02006153598089908,0.002759602301610653,0.0020669967065509434,0.008023325153280463,0.030904032209040363,0.018269665594677336,0.0007580419846110581,-0.017991932687431607,-0.011306999350324042,0.03807621354290411,-0.016459048194764368,-0.0058179060526745265,-3.903127820947816e-16,9.71445146547012e-17,3.623761265498716e-17,-4.924842686664788e-16,-2.0302363321756724e-17,-5.323178858684925e-17,-3.7293837324861604e-17,-7.44237003038035e-17,-5.763575872310517e-17,-1.668104034976207e-17,-3.75933463982493e-17,-4.056387201119056e-17,1.404483849619441e-16,-8.956842148065751e-17,-4.082459669958497e-17,-6.551687030909489e-18,1.3544839197946559e-17
button_touch_y_location_count,0.20845319577767887,0.05612464982303639,0.00045880844989798844,-0.010849872489445023,-0.011678382467761428,0.008983680679123834,0.02664066446468738,-0.04581737348972123,0.008506999165964967,-0.019311610583957556,0.004151627120275305,0.02809043583410939,0.0045908863530986985,-0.017703570789905337,0.020975915553726965,0.014365236886841298,0.014002255754833104,0.011106081082721042,0.0027722044060975587,-0.004313735325440812,-0.004238058419504462,-0.0079056560351978,-0.004525776445448437,0.009050338098737842,0.005939795320940897,-0.015437146467029927,0.003024644325662372,-0.007671043284696685,-0.0016206608392206577,-0.006074148652329456,-0.005971808424587333,-0.006978301951955271,-0.016774814827001078,0.007663047692093333,-0.013685082091405398,-0.0044937458709488134,0.003682398890274878,-0.006730817572570963,0.011336857040923895,-0.007928623466297344,0.0027841896846622985,-0.013012789393036905,-0.008796163585165356,-0.0014097551058534826,-0.00480997571525104,0.0020674875957371365,-0.007104871706936744,0.017214345086375718,0.002161998502612719,0.012774008048765398,0.019497538077482307,-0.01230378983195192,0.0020601866343591853,0.0025755377161165976,0.0013302213690488396,0.007407033004740125,0.003278925081952915,-0.000752615478180872,-0.0006432924610681435,-0.00401967211459784,-0.005416775051298693,0.004387596888789159,-0.0005734101079605462,-0.000313991435384045,0.0018304753299235796,0.005507261315795514,0.0013852382295760123,0.0042746078765362235,0.001811107819869707,-0.011865392143627876,0.00566433194857896,-0.00043535041639594446,0.0009361652285214152,-0.005390732391924134,-0.005260305164004952,-0.0016318386848863916,-0.00010844918821999178,0.002942842769615608,0.0018623839199010837,-0.0005820927820684939,-0.0017898512774241115,0.0006540014025514194,-0.0009371249250926921,0.0016135091256940842,-0.592424991880905,0.1112029893898405,-0.44585169622546494,0.4546365000272617,0.06700458222254449,-0.319241128202635,0.13366149669855656,0.04454439860796552,-0.013963205294267006,0.05019219963084213,0.09965921604554752,-0.11394148083395936,0.09501561134766669,0.09979244688117635,-0.04569406067353811,0.051725050464363126,-3.495168514221776e-16
button_touch_y_location_kurt,-0.02886783701491457,0.2340908228632146,0.025993291677069957,0.09987387604891118,-0.05501183671763982,0.0005037139215809281,0.0573188009864343,0.010750431164214314,-0.0003918985507169806,-0.003920751895095206,0.07558021397229499,-0.04456045255864864,0.09774919830192273,0.02910717696419706,0.029355000644997124,0.010215804033195625,-0.0972510624342575,-0.17577294345262567,0.14333040204678307,-0.05313265882192367,0.12146172750056908,-0.18391772645219845,-0.01667422477623423,0.030915427893023838,0.09560072484475386,0.008530832978543401,-0.05681741559256822,0.1451742952939251,-0.11062117800489267,-0.08877924272981577,-0.018936746392479373,1.0018509850606705e-06,0.03314133035571187,-0.004228333555076472,0.10216507170383815,-0.10295211690344383,-0.15716149633966053,-0.012024013289456029,-0.12110089844015814,-0.04151701996202502,0.016614302989165653,-0.007923046970646358,0.19573632387253195,-0.019410076718813327,-0.12987572747866477,-0.15365187398242874,0.18913439212367894,-0.0877291285326644,0.17012712666351795,0.18967333458266716,0.09775862374250101,0.19530343830546443,-0.0909964553838238,0.16792889029815686,0.1178248273706745,-0.1508362486733601,-0.13431117455933012,-0.06610518228710686,-0.12748392312426693,0.1366584592862509,-0.0006815520650245259,0.15074970257670658,-0.2628420394569971,0.07371493990579014,0.3112445197845247,-0.030522705904774062,0.01708489395502636,0.0650691776355194,0.005660211363611121,0.16229736712350606,0.04296472983250435,0.17255941818512066,0.10826399455290173,0.04851675857086678,0.004181480269898081,-0.12341094100050796,0.048263647234452756,0.0958510743284432,0.03210950674301146,-0.060095649810851935,-0.05960946980131406,0.06775140408400354,0.007146017529371226,0.001679774331845334,4.896257010944538e-16,1.249000902703301e-16,-1.700029006457271e-16,3.469446951953614e-18,1.6046192152785466e-17,-4.163336342344337e-16,2.168404344971009e-17,-2.2551405187698492e-17,7.43762690325056e-17,-2.736526283353413e-16,2.6020852139652106e-18,1.474514954580286e-16,4.163336342344337e-17,-3.642919299551295e-17,-4.8138576458356397e-17,-7.45931094670027e-17,5.720255818803351e-18
button_touch_y_location_min,0.013189475352328445,-0.046290395202560175,-0.0609548807520956,0.15120444528977034,0.04395380517256234,0.09164400647657532,0.07467286781927407,-0.19061712191185565,-0.11403865551293432,0.27292897047753717,-0.0083361478215312,-0.1981771640638808,-0.026691915332537196,-0.242109592531248,-0.1440739561739276,0.011403044631319803,0.07344702425036577,0.038524571735882585,0.12655215528140998,-0.10611054014169997,0.06565020768591745,0.09063876726560592,0.015949005425470487,0.02517197736893316,0.10027912972676473,0.02885782430082516,0.01174718679369028,-0.05083020580206268,-0.042280208105029776,0.03620706548952352,-0.011802701172932244,-0.026476218148198158,-0.05478638488896451,-0.07504611231782152,0.14938144328801065,0.07562915298828682,-0.03148846805005068,-0.028380793627034218,0.16067204065492158,0.15127371697041664,0.11962286406994065,0.038312441728545726,0.049995389848933466,0.10255604112212333,0.06270116614924294,0.0011719930794727752,0.12353275087645338,0.045021409578876126,0.08152340210370043,0.05057686650136453,0.0776827670858519,-0.10900806643072197,-0.27384342865541533,-0.10586148478231165,-0.5965615449948999,-0.1105536135264358,0.01092830496253202,-0.11827848625178765,-0.07323722101302324,-0.035482029238298574,-0.0028306204623999368,0.004358408605326429,-0.027819278622979494,0.00940103371084329,0.03426746514477269,0.0011807144093778296,0.016671002453909158,0.008153048317151856,0.028205120441154908,0.03654510057685682,-0.007786235443065469,-0.023103102480773033,0.016585366608657795,-0.023799370034128887,0.0020912032017433926,0.001313183448513975,-0.022903405045553417,-0.01094305959306915,-1.78769177852766e-05,0.01106185104843637,-0.012630491889387568,-0.01921478110186087,0.006006539202776266,0.006389144045374825,2.3245294578089215e-16,-1.0408340855860843e-16,-2.1163626406917047e-16,6.210310043996969e-16,4.0766001685454967e-17,1.2836953722228372e-16,3.729655473350135e-17,1.3574211199518516e-16,2.237793284010081e-16,-1.3010426069826053e-17,4.163336342344337e-17,-2.0296264668928643e-16,-7.676151381197371e-17,1.0234868508263162e-16,-3.903127820947816e-18,1.214306433183765e-16,-6.105841876775617e-18
difference.touch_buttonCenter_x_count,0.20845319577767885,0.05612464982303639,0.00045880844989787395,-0.010849872489444946,-0.011678382467761483,0.008983680679123904,0.026640664464687387,-0.04581737348972137,0.008506999165964993,-0.019311610583957223,0.0041516271202753675,0.028090435834109237,0.004590886353098617,-0.017703570789905462,0.02097591555372688,0.014365236886841479,0.014002255754833243,0.011106081082721195,0.0027722044060974546,-0.0043137353254406735,-0.004238058419504566,-0.007905656035197689,-0.004525776445448083,0.009050338098737856,0.005939795320940772,-0.015437146467029789,0.0030246443256621847,-0.007671043284696692,-0.0016206608392207045,-0.006074148652329109,-0.0059718084245872945,-0.00697830195195516,-0.01677481482700089,0.007663047692093059,-0.013685082091405155,-0.004493745870948923,0.0036823988902749197,-0.006730817572570824,0.011336857040924173,-0.007928623466297656,0.0027841896846621562,-0.013012789393037086,-0.008796163585165773,-0.0014097551058536544,-0.00480997571525079,0.002067487595737036,-0.007104871706937049,0.017214345086376065,0.0021619985026129843,0.0127740080487658,0.019497538077482418,-0.012303789831952183,0.0020601866343588245,0.002575537716116509,0.0013302213690483157,0.007407033004739244,0.003278925081952988,-0.0007526154781814162,-0.0006432924610680043,-0.00401967211459741,-0.005416775051298561,0.004387596888789445,-0.0005734101079603411,-0.00031399143538399015,0.0018304753299238433,0.005507261315795528,0.0013852382295751631,0.004274607876536187,0.0018111078198698866,-0.011865392143627376,0.005664331948578308,-0.00043535041639555794,0.0009361652285209106,-0.005390732391923451,-0.0052603051640049865,-0.0016318386848862476,-0.00010844918822048422,0.0029428427696161046,0.0018623839199004445,-0.0005820927820681084,-0.0017898512774254978,0.0006540014025507301,-0.0009371249250924541,0.0016135091256955576,-0.5644368904702691,0.10866122806306078,0.26518597797813503,-0.5857779224632139,0.09590490122555541,-0.04818138819570872,-0.04002112411195781,-0.21550236792256597,-0.15853890218040226,0.026638087168650595,0.12856053688717775,0.2888536737890193,0.023608928488861106,-0.041407780776536014,0.00024035991324941977,-0.1137812497171536,5.101128373993263e-16
difference.touch_buttonCenter_x_kurt,0.02734483841500833,-0.08219051359174367,0.10851325189229721,-0.05335176442054276,-0.02835644439346212,-0.13314096056855101,-0.11930456710055504,0.11610783111746652,-0.029286698715273937,-0.26692656035604034,0.019091497443713586,-0.08827980946648029,0.15607437731606477,-0.10162335079975315,-0.09509038898852541,-0.14937487802734908,0.10029097443879476,-0.011504689688317554,0.09907222591829697,-0.04244749477799301,0.1689270894324319,0.02619793974153302,-0.014444518111020196,0.07957287129399918,0.12318305842238672,0.009526795273797017,0.045702560257854866,-0.11516994850168946,-0.022706390147016906,0.2066649420848634,0.044687055586274574,-0.3152425391800847,0.06919776795541877,-0.15091297786990837,0.01195852536315923,-0.030970198684809908,0.14277251169785557,0.018751812363373355,-0.06381964163006841,-0.11558621657212077,0.2609262645316014,0.032646609178638444,-0.2591455968757691,0.1133248636791736,-0.2231081973405526,-0.11237369577902191,0.0043577875291677184,-0.0824641434093488,-0.05583250617067173,0.17202305005924362,-0.0652755463349477,0.0023232038234292096,0.16324395899444835,0.1517925550295263,-0.16799192847132888,0.053813052777546305,-0.12116035430537232,0.13666089421894523,0.05598476744473713,-0.030918298486735808,-0.13071963143050955,0.21594222831279875,0.07393272960028849,-0.07296512869070461,-0.05039511179901132,-0.07921498939036058,0.0975072043439118,0.03859800394512683,0.020265957265026006,0.020286910700979613,0.05082505479222922,0.003959231906305213,0.027039994940956304,-0.02127855333864794,0.02282660079643154,-0.03402713306039108,-0.04503674257378794,0.04223148923401996,-0.06773683099147117,-0.01982113213399242,0.03894994159756187,0.011426647604249983,0.027115296239989713,0.017868203549800597,-1.1319070680748666e-16,-1.0408340855860843e-17,8.500145032286355e-17,-8.326672684688674e-17,4.336808689942018e-17,2.706168622523819e-16,-3.209238430557093e-17,5.204170427930421e-17,5.204170427930421e-17,-9.280770596475918e-17,-4.5102810375396984e-17,-6.938893903907228e-18,6.938893903907228e-18,-1.2706849461530112e-16,-5.551115123125783e-17,8.673617379884035e-18,-6.1356047594809004e-18
difference.touch_buttonCenter_x_mad,-0.019202806777979406,-0.02799853699404791,0.2535915892076449,-0.10254052328175997,-0.1609978699081115,0.11748769011483837,0.0762621243981118,-0.04418949750436929,-0.12706467048269765,-0.02329772679038479,-0.11415376266405039,0.08946072654107573,-0.09870706745160884,-0.10821398223623016,0.027734602744159176,-0.15610234628351752,-0.04827660252898193,-0.16058911869875012,-0.09317892340797145,-0.10841492264393814,-0.10246783366732663,0.003923321986650068,0.01742622793991873,-0.0423991343416488,0.033863991516595957,0.02324651779162601,0.034765079461291856,-0.030890665724319838,-0.049198349732244635,-0.03706172188562523,0.03756194092685389,0.11287062321266544,-0.047096231006780065,-0.03709168696204784,-0.016487426537323074,0.01097275760916356,-0.02521462753114517,0.04091262580232562,-0.04754344947078601,0.032679613587607216,-0.014429884642349509,0.07049186260684814,0.06696349117180472,-0.054554022586791484,-0.004920939246336416,0.025518366502330234,0.06406780266689244,0.04714855891410055,-0.10243705151091773,0.09118593217049742,-0.08573262592531164,-0.017978286241015662,-0.04265908684864968,-0.166505882683633,0.06884333381494297,-0.1346222200400861,0.036643562487183846,-0.1496854034541591,-0.0007210049559977418,0.09829038103095138,-0.04176093115456089,0.21132058806021217,0.12617190407039083,0.003007168592285846,-0.10530924074962397,-0.0686572215039609,0.15458950892157394,0.07644537702635598,-0.10599901338098913,-0.1585087396222033,0.2948753591702412,-0.026282994350508605,0.2744897101135856,-0.037821215726977275,0.2595633995495052,-0.0807540412093551,0.079377252363571,-0.0697822100768315,-0.2015873970110725,-0.12115232575058144,0.027891753301133186,-0.2574538532298024,-0.040217855598654664,-0.22355927631217146,-1.5851035761738075e-16,1.0928757898653885e-16,2.3592239273284576e-16,-4.163336342344337e-16,-1.282069068964109e-17,2.498001805406602e-16,-1.5612511283791264e-16,-5.48172618408671e-16,2.7755575615628914e-17,1.0842021724855044e-16,3.8120548384590336e-16,3.400058012914542e-16,-1.3183898417423734e-16,5.551115123125783e-17,4.683753385137379e-17,-9.367506770274758e-17,5.676555475354693e-18
