R2(Test),R2(Train),R2(Validation),RMSE(Test),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),MAE(Test),AIC(Validation),AIC(Test),BIC(Validation),BIC(Test),MAPE(Validation),MAPE(Test),Target,Algorithm
0.28177012649341093,0.5206455239858758,0.344186243339729,1.129223257870628,1.129223257870628,1.1276534052500329,0.08546162446835413,0.26713708613647325,0.7766410757681528,0.9002723373757298,0.8816582573651627,72.38032962113648,129.02162493945616,245.0750874881657,265.5960634401308,27.192007848282657,25.945377464297394,ATT,Random Forest
0.4452357608415708,0.63452819871869,0.48790651752785413,1.0749304668350792,1.0749304668350792,1.0958108487113858,0.10064544163004874,0.427742529149979,0.7481199596862899,0.8730164919496404,0.8474534048397027,38.31687768836269,111.57861602571624,211.01163555539193,248.1530545263909,23.494677787255437,23.975724668908295,PQ,Random Forest
0.3973736833562358,0.5115784838231566,0.4029126996481261,1.0343609793566269,1.0343609793566269,1.0732789200453239,0.0786565453696191,0.3327630987871135,0.7943498342475869,0.8707105539738806,0.812412833189044,70.88592153731129,97.95947397597251,243.58067940434054,234.53391247664715,27.607529572301733,24.53650004960698,ATT,SVM
0.5041861009060713,0.6994182124874186,0.5621571837553544,1.016214744297455,1.016214744297455,1.0142961733142881,0.09307268387844364,0.5107166343058469,0.6955000260295381,0.8124786616896077,0.826761142307462,-44.836537485346554,91.6939800192373,127.85822038168268,228.26841851991193,21.50052475647355,24.130715612759424,PQ,SVM
0.25556884783422495,0.5124269662128127,0.317856848840238,1.1496359905325326,1.1496359905325326,1.1492241798143985,0.131887335313132,0.23771434747447362,0.7844281970720488,0.9156627910231985,0.8748622737158006,75.45318140328149,135.36365825323105,248.14793927031073,271.93809675390565,27.151873020020133,27.071675135655422,ATT,Linear Regression SGD
0.3917581324347251,0.6285373224856847,0.5115560365368051,1.1255487207916013,1.1255487207916013,1.0724940732999675,0.12640241789562692,0.4541705435616211,0.7602025243099717,0.863700793264614,0.9097549020973305,43.039893075797394,127.86781666984658,215.73465094282665,264.4422551705212,23.407978046456993,25.913312473069254,PQ,Linear Regression SGD
0.21377588170839967,0.5152128960437673,0.3231507990097279,1.181466095147504,1.181466095147504,1.1443563939239056,0.1359632885914857,0.24363026446715486,0.7821039431416351,0.9137633035668455,0.8783589062424093,72.72130904555831,145.0316667581609,245.41606691258755,281.6061052588355,26.682201450752718,27.09441939254869,ATT,Linear Regression
0.4063808432195696,0.6327937687571076,0.5121057238706076,1.1119367832852718,1.1119367832852718,1.0737035972236115,0.11648785716943728,0.4547848116477554,0.756328212247032,0.8634758426008248,0.8969368671361471,40.83471264021962,123.56058400567113,213.52947050724885,260.13502250634576,23.55632071005756,25.876633441653823,PQ,Linear Regression
0.24707918922655803,0.27451641105819063,0.24802468100159278,1.1561727590768063,1.1561727590768063,1.2039971714149689,0.06592565714335163,0.15967785390615152,0.9635865737403915,0.9689574777383616,0.9345809549236865,231.63743626565366,137.3707824469782,404.3321941326829,273.94522094765284,34.549704070187566,28.258802916524733,ATT,Lasso Regression
0.34266199410115616,0.37971487699300555,0.35311699121018275,1.1700933597656684,1.1700933597656684,1.23414182549194,0.11662098061077883,0.27711707487695303,1.0113146888256015,1.0192830368856065,0.9755007772455114,250.82890702405345,141.60757326540377,423.5236648910827,278.1820117660784,32.32853538461068,28.52625382104016,PQ,Lasso Regression
0.2908044690584495,0.3460981725573721,0.31971405734217195,1.122098746202502,1.122098746202502,1.1440598962666606,0.05996717326970847,0.23978975260368396,0.9222710642812167,0.9284788463071051,0.9001154348864714,189.24013689492438,126.78108756165902,361.9348947619536,263.35552606233364,32.607998436077395,27.048780918480258,ATT,Elastic Net
0.3742880618675236,0.4372241124154642,0.41047886443900744,1.1415984325072184,1.1415984325072184,1.1777767427618908,0.12020461410208053,0.34121818457801645,0.9493845801692823,0.9580818276836822,0.9502440218245658,211.13028807172594,132.8800125959984,383.8250459387552,269.45445109667304,30.157929162494984,27.79202366542586,PQ,Elastic Net
0.19487454539722693,0.453819685659418,0.415760568942466,1.1955833565619969,1.1955833565619969,1.0635031897216727,0.09867380357803938,0.34712041720619824,0.8397454729119384,0.8556382397425016,0.9020921200605437,115.29341067824964,149.23651768797112,287.9881685452789,285.8109561886458,28.73871753182227,27.007949649155055,ATT,MARS
0.3155238554513644,0.6039953147385446,0.5152408773216703,1.1940026799516612,1.1940026799516612,1.072825597855321,0.11210597602251368,0.45828830279935295,0.7832365928218509,0.8640850074935711,0.9699696913042333,58.13152391781587,148.76818585716632,230.8262817848451,285.3426243578409,24.27065486272116,27.24974632408494,PQ,MARS
