#Features,AIC(Test),AIC(Validation),Adjusted R2(Validation),BIC(Test),BIC(Validation),Features,MAE(Test),MAE(Train),MAE(Validation),MAPE(Test),MAPE(Validation),R2(Test),R2(Train),R2(Validation),RMSE(Test),RMSE(Train),RMSE(Validation),StandardError(Validation),Target,Algorithm
2,24.63257686,49.36278793,0.215779408,28.68328024,55.09785683,[0 2],0.979417522,0.945999729,0.961017265,31.68834051,32.11958275,0.16488327,0.30863742,0.227937867,1.202279618,1.194495898,1.210585008,0.174642951,ATT,Random Forest
3,28.72615504,31.11421706,0.273707745,34.80221011,39.71682042,[0 1 2],0.963138251,0.897964715,0.93675266,28.51661395,28.85446814,0.202290311,0.424409503,0.290598263,1.224964787,1.104690805,1.155352597,0.206318048,PQ,Random Forest
1,23.37952565,56.06084122,0.175931431,25.40487734,58.92837567,[0],0.962725801,0.969571016,0.979601361,32.58094529,33.76586399,0.153669552,0.266503364,0.18231956,1.210324641,1.230372353,1.243537427,0.206830808,ATT,SVM
1,29.58090706,44.07603981,0.236284629,31.60625875,46.94357426,[0],1.031837293,0.941116815,0.958852342,32.09648176,31.35903283,0.130049134,0.347923125,0.242204903,1.279229699,1.175753155,1.199149015,0.216609102,PQ,SVM
1,23.7893327,68.24622076,0.175228232,25.81468439,71.11375521,[0],0.975348638,1.002581822,0.986100898,34.16421779,37.20991955,0.147453403,0.218848349,0.181621811,1.21476132,1.269465995,1.248779347,0.249941692,ATT,Linear regression
1,32.81032598,49.60298192,0.210086769,34.83567768,52.47051637,[0],1.043584313,0.953058849,0.966878451,32.08302278,31.25579664,0.078405862,0.319623142,0.216210128,1.31665206,1.200954303,1.215587462,0.264761883,PQ,Linear regression
1,23.26481683,64.71370471,0.134679041,25.29016852,67.58123916,[0],0.974070941,1.012685906,1.029666509,34.23886488,36.88808624,0.155401378,0.215676923,0.141386956,1.209085678,1.272233777,1.288449551,0.113705577,ATT,Lasso Regression
1,29.80201834,56.02004967,0.179053129,31.82737003,58.88758412,[0],1.071480847,0.99692046,1.013824066,33.42135422,33.48797407,0.126607416,0.286528264,0.185417058,1.281757658,1.229831613,1.253753784,0.147846701,PQ,Lasso Regression
2,24.81280654,62.73545186,0.148450501,28.86350993,68.47052076,[0 1],0.96739818,0.994327918,1.008544671,33.66836299,35.77152298,0.162191211,0.239813504,0.161652819,1.204215876,1.252572753,1.267913204,0.151828086,ATT,Elastic Net
2,32.43173228,53.86555504,0.192879299,36.48243566,59.60062394,[0 2],1.055597727,0.97680247,0.993356208,32.79209252,32.53831783,0.116730784,0.309068029,0.205392798,1.288984569,1.210258165,1.233457933,0.186409386,PQ,Elastic Net
2,NA,NA,0.409717447,NA,NA,"PC1,PC3",1.096397904,0.876664823,0.876664823,25.74406922,19.41920959,0.252641658,0.418729394,0.418729394,1.37777522,1.059803941,1.059803941,0.189958478,PQ,MARS
3,NA,NA,0.275095524,NA,NA,"PC1,PC2,PC3",1.164412822,0.934536228,0.934536228,34.62110162,21.69999913,0.055097336,0.291696389,0.291696389,1.523219059,1.17749443,1.17749443,0.142987229,ATT,MARS
