"#Features","AIC(Test)","AIC(Validation)","Adjusted R2(Validation)","BIC(Test)","BIC(Validation)","Features","MAE(Test)","MAE(Train)","MAE(Validation)","MAPE(Test)","MAPE(Validation)","R2(Test)","R2(Train)","R2(Validation)","RMSE(Test)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
"14","72.81508792","45.77767248","0.318174511","117.2811842","102.0038727","[ 0  1  3  5  6  9 11 13 14 15 17 18 19 21]","0.875482198","0.805093955","0.898843054","24.9722346","28.28982371","0.274455625","0.484219344","0.341513281","1.134958735","1.007027305","1.129983039","0.098784038","ATT","Random Forest"
"11","68.31064768","10.88980074","0.497261363","103.2482947","55.06752949","[ 0  1  3  6  7  8 13 14 18 19 20]","0.918554938","0.776631818","0.860670073","25.14511936","24.45805027","0.376297588","0.601440738","0.510782451","1.139763789","0.979812547","1.083334174","0.066739743","PQ","Random Forest"
"14","50.87443141","43.19282618","0.384559694","95.34052766","99.41902641","[ 0  1  2  3  5  6  7  9 10 13 16 17 18 19]","0.826814647","0.825310686","0.870533207","23.70046057","28.523788","0.359042134","0.472120101","0.40562611","1.066750421","1.018744906","1.07464917","0.081709565","ATT","SVM"
"12","35.99688963","-57.0231094","0.549687495","74.11068643","-8.829223479","[ 0  1  2  5  7 11 12 14 16 18 19 20]","0.849404507","0.724779314","0.826752668","22.93483208","22.40017094","0.486212214","0.660966301","0.562899598","1.034470311","0.903695286","1.023669495","0.059437151","PQ","SVM"
"13","52.84297348","52.45974078","0.40104678","94.13292","104.6697839","[ 0  1  2  3  4  5  7  9 14 15 16 17 19]","0.854053723","0.831416372","0.860479408","23.76530922","28.93464008","0.344508808","0.459127954","0.420084413","1.078776586","1.0312139","1.062448622","0.084763709","ATT","Linear regression"
"15","72.23975046","48.00904993","0.508531287","119.8819964","108.2514073","[ 0  1  2  4  5  7  9 10 11 12 13 14 15 19 21]","0.925410907","0.816971781","0.84765421","24.51107282","25.66428776","0.390478677","0.567006362","0.526555811","1.126731912","1.021240191","1.063042389","0.038117364","PQ","Linear regression"
"9","74.69593608","163.6374363","0.238838021","103.2812837","199.7828507","[ 0  1  2  3  8 10 13 15 16]","0.945876606","0.963368827","0.971255663","27.91234407","34.54970407","0.224082911","0.274598582","0.255587306","1.173696314","1.194226493","1.204707115","0.096886432","ATT","Lasso Regression"
"10","82.8039276","184.828907","0.350634935","114.5654249","224.9904786","[ 0  1  2  5  7  8  9 11 12 19]","1.000102668","1.011488167","1.016747792","28.20379512","32.32853538","0.315385625","0.379475945","0.366511832","1.194123239","1.22249915","1.228905505","0.060033274","PQ","Lasso Regression"
"8","64.51516197","129.4695463","0.299842225","89.92435983","161.5988036","[ 0  1  3  4  5  8 11 16]","0.907951825","0.931796191","0.937190113","26.35113669","32.99855265","0.259128935","0.329655699","0.313537243","1.146883748","1.148029359","1.156334973","0.07738044","ATT","Elastic Net"
"11","76.40121465","147.1302881","0.407601834","111.3388617","191.3080168","[ 0  1  2  4  5  8  9 10 11 16 18]","0.968506462","0.949270158","0.956736458","26.88156712","30.15792916","0.347126905","0.437074179","0.423534303","1.166112711","1.16441357","1.172218304","0.043562014","PQ","Elastic Net"
"17",NA,NA,"0.562989961966767",NA,NA,"PC1,PC2,PC3,PC4,PC5,PC12,PC13,PC15,PC16,PC18,PC19,PC20,PC21,PC22,PC23,PC25,PC26","0.80805784449204","0.779030668733414","0.779030668733414","21.6600989041352","19.4648786697971","0.557944790369166","0.580978268617046","0.580978268617046","1.03042759977884","0.989696138570609","0.989696138570609","0.0915390716247322","PQ","MARS"
"19",NA,NA,"0.388918639534734",NA,NA,"PC1,PC2,PC3,PC4,PC5,PC6,PC8,PC9,PC10,PC13,PC15,PC17,PC18,PC19,PC21,PC22,PC24,PC25,PC26","0.871418783113137","0.867017126596271","0.867017126596271","24.6567123143129","22.0000821095732","0.404837294149585","0.417168142816584","0.417168142816584","1.0780707525309","1.06392683430581","1.06392683430581","0.130757146058132","ATT","MARS"
