R2(Test),R2(Train),R2(Validation),RMSE(Test),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),MAE(Test),AIC(Validation),AIC(Test),BIC(Validation),BIC(Test),MAPE(Validation),MAPE(Test),Target,Algorithm
0.3986019989349219,0.49570971804721375,0.4065804788637436,1.0333062877946533,1.0333062877946533,1.0695514888100652,0.0674268181866797,0.402195605554855,0.8044568844025148,0.8647531166585855,0.8221379824222433,5.05881692107702,17.59833187999637,17.107288400172084,27.126781077717855,27.60336348173636,24.62819539700013,ATT,Random Forest
0.5616902290091506,0.6052931666098401,0.5650922112966749,0.9554692603730043,0.9554692603730043,1.0130403734024551,0.10311154735301362,0.5618786069466504,0.7706947823647268,0.8015255362623882,0.7680168763875194,-14.466393066595355,-10.125651221656025,-2.4179215875002917,-0.597202023934539,23.948787687339575,22.33773991818013,PQ,Random Forest
0.3564528531370036,0.4487344374313064,0.4150422644271415,1.0689029277563697,1.0689029277563697,1.060811231841878,0.06212048941882648,0.410719916627342,0.849255556781705,0.8654653815424402,0.8408570495330365,39.04881810691267,29.588018751085606,51.09728958600773,39.11646794880709,28.992862798404683,25.45698650142106,ATT,SVM
0.5057405120887192,0.6038968395161213,0.5683644185733869,1.0146205417537602,1.0146205417537602,1.0069079639944507,0.10413326315634827,0.5651749930948652,0.7775406780245281,0.8079455432184038,0.8338617366673622,-13.461857481695692,11.13820100528632,-1.4133860026006282,20.666650203007805,24.05857862628346,24.070433437971385,PQ,SVM
0.33464650864342627,0.4225661055729992,0.39944936798387687,1.0868617429950092,1.0868617429950092,1.0710695670676087,0.07056925863242733,0.3950118017374523,0.8692758478735174,0.8740491437431362,0.8486261384197427,57.94939425264581,35.486220677190516,69.99786573174087,45.014669874912,29.761623701041508,25.48035192063656,ATT,Linear Regression SGD
0.45356940655768574,0.5450388889056125,0.5241608915653472,1.066826135173383,1.066826135173383,1.0552886550239409,0.11636017346089648,0.520644839039968,0.8337928016684977,0.8390429099897451,0.8807704123653164,44.213408456107594,28.899556137675376,56.26187993520266,38.42800533539686,25.98247198868593,25.773652970984255,PQ,Linear Regression SGD
0.3398810710155148,0.42321083307363666,0.3997081218052291,1.0825779452092563,1.0825779452092563,1.0711734700543145,0.06685294974046113,0.39527246753285394,0.8691358109365561,0.874091466773488,0.8447813282464134,57.682386981605624,34.08819482254423,69.73085846070069,43.61664402026572,29.861152940817753,25.426632510273688,ATT,Linear Regression
0.4657678416609212,0.5460441620715877,0.5236894262705744,1.0548510918957312,1.0548510918957312,1.056247671487781,0.11059783096896228,0.5201698900114899,0.8334493013192302,0.8416983542782641,0.870328210767059,42.94135147555401,24.90346259263083,54.98982295464907,34.431911790352316,26.183788609137366,25.652825348200594,PQ,Linear Regression
0.2843600979093266,0.33177030475648295,0.3091789757844854,1.1271854024115824,1.1271854024115824,1.1504743740795527,0.03352339529376973,0.3040743869356022,0.932077271076014,0.9355461326038413,0.9215908440871976,117.83865180114634,48.3822008481196,129.8871232802414,57.91065004584109,33.072689322741915,28.30632016547417,ATT,Lasso Regression
0.41145900899730825,0.455579266233151,0.44211765153097227,1.1071704888816545,1.1071704888816545,1.1486200587487825,0.06291449305113067,0.43799536816790063,0.9434971149737533,0.9457704476653077,0.918278929849862,117.19041038517666,42.03990870111433,129.23888186427172,51.568357898835814,30.039393786930535,27.71834326731503,PQ,Lasso Regression
0.3142014254943909,0.36940660746442666,0.34613622117460213,1.1034340237195124,1.1034340237195124,1.1182033601720738,0.04668596854999924,0.3413047154197347,0.9091551218473424,0.9133900697563386,0.8927315627890621,94.19424571531994,40.843213480879534,106.24271719441501,50.37166267860102,31.913546800561786,27.36541824016467,ATT,Elastic Net
0.4461287551259657,0.49524599421843557,0.47927203292462844,1.0740649700233589,1.0740649700233589,1.1091623085323519,0.07490182804791229,0.47542428932554937,0.8965396326457957,0.9023777863113013,0.8889724485841252,86.25605394678013,31.293472667419955,98.3045254258752,40.82192186514144,28.490846532109202,26.764637920863592,PQ,Elastic Net
0.40292187723478834,0.45154819938458884,0.3997181222886446,1.0295884485426408,1.0295884485426408,1.074334233672707,0.07906435587394291,0.39528254191146706,0.8461483518145128,0.8719299948887674,0.8130678816476411,38.02235401722638,16.3223418869226,50.07082549632144,25.850791084644086,28.667277785426943,24.471936697755336,ATT,MARS
0.5436774440490769,0.572543098368506,0.5532256171683276,0.9749045817725591,0.9749045817725591,1.0272386330136067,0.09075006831926778,0.5499243286252364,0.7986065684577245,0.8068385456092341,0.7902286830868237,16.68284148582154,-2.9971498781964687,28.731312964916604,6.531299319525017,24.67726371139337,22.98250875387185,PQ,MARS
