"#Features","AIC(Test)","AIC(Validation)","Adjusted R2(Validation)","BIC(Test)","BIC(Validation)","Features","MAE(Test)","MAE(Train)","MAE(Validation)","MAPE(Test)","MAPE(Validation)","R2(Test)","R2(Train)","R2(Validation)","RMSE(Test)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
"43","110.7611299","98.40587541","-0.057089976","197.8512526","221.7098568","['x_location.down_mean' 'touch.duration_mean'
 'button_touch_x_location_mean' 'x_location.release_mean'
 'difference.touch_buttonCenter_y_mean'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_median' 'target_touch_x_location_skew'
 'target_touch_y_location_skew' 'touchAccuracy_x_skew'
 'touchAccuracy_y_skew' 'x_location.down_skew' 'y_location.down_skew'
 'y_location.release_skew' 'button_touch_y_location_kurt'
 'touchAccuracy_kurt' 'y_location.down_std' 'touch.duration_std'
 'swipe_length_std' 'swipe_length.x_std' 'target_touch_x_location_std'
 'x_location.release_std' 'touchAccuracy_x_std' 'x_location.down_max'
 'y_location.release_max' 'touchAccuracy_y_max' 'x_location.down_min'
 'swipe_length.x_min' 'button_touch_x_location_min'
 'target_touch_x_location_min' 'difference.touch_buttonCenter_x_min'
 'touchAccuracy_x_min' 'touchAccuracy_y_min' 'x_location.down_count'
 'touch.duration_count' 'swipe_length_count' 'swipe_length.y_count'
 'button_touch_x_location_count' 'button_touch_y_location_count'
 'target_touch_y_location_count' 'x_location.release_count'
 'y_location.release_count' 'difference.touch_buttonCenter_x_count']","1.03034326","0.839352038","0.940536499","34.69143892","29.21778446","0.100988638","0.471415485","0.295273349","1.247425112","1.044645339","1.169439792","0.136926324","ATT","Random Forest"
"40","102.1879637","16.80201139","0.218386304","183.2020313","131.5033894","['x_location.down_mean' 'y_location.down_mean' 'touch.duration_mean'
 'swipe_length_mean' 'button_touch_x_location_mean'
 'time_between_touches_mean' 'x_location.release_mean'
 'difference.touch_buttonCenter_x_mean' 'touchAccuracy_mean'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'target_touch_x_location_skew'
 'target_touch_y_location_skew' 'touch.duration_skew'
 'x_location.release_skew' 'x_location.down_kurt' 'touchAccuracy_kurt'
 'y_location.down_std' 'touch.duration_std' 'swipe_length.x_std'
 'target_touch_x_location_std' 'x_location.release_std'
 'touchAccuracy_y_std' 'target_touch_x_location_max' 'x_location.down_min'
 'y_location.down_min' 'button_touch_y_location_min'
 'target_touch_y_location_min' 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_min' 'swipe_length_count'
 'swipe_length.y_count' 'button_touch_x_location_count'
 'button_touch_y_location_count' 'target_touch_x_location_count'
 'target_touch_y_location_count' 'difference.touch_buttonCenter_x_count'
 'touchAccuracy_count' 'touchAccuracy_x_count']","0.911981219","0.641960874","0.825394756","27.88589941","20.39803288","0.209920025","0.700384336","0.46074714","1.219092609","0.796975981","1.007332007","0.16030549","PQ","Random Forest"
"38","101.6080779","38.27837495","-0.096872757","178.5714421","147.2446841","['touch.duration_mean' 'x_location.release_mean'
 'difference.touch_buttonCenter_x_mean' 'touchAccuracy_mean'
 'touchAccuracy_x_mean' 'touch.duration_median'
 'time_between_touches_median' 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_y_skew' 'target_touch_x_location_skew'
 'target_touch_y_location_skew' 'time_between_touches_skew'
 'touch.duration_skew' 'touchAccuracy_skew' 'touchAccuracy_x_skew'
 'button_touch_y_location_kurt' 'x_location.down_std' 'swipe_length_std'
 'x_location.release_std' 'touchAccuracy_x_std' 'y_location.down_max'
 'touchAccuracy_max' 'swipe_length.x_min' 'button_touch_x_location_min'
 'target_touch_y_location_min' 'difference.touch_buttonCenter_x_min'
 'touchAccuracy_y_min' 'y_location.down_count' 'touch.duration_count'
 'swipe_length_count' 'swipe_length.y_count'
 'button_touch_x_location_count' 'time_between_touches_count'
 'y_location.release_count' 'difference.touch_buttonCenter_x_count'
 'touchAccuracy_count' 'touchAccuracy_y_count']","1.017093783","0.72652774","0.99886661","32.31967691","24.49364018","0.087288586","0.645627223","0.226237047","1.256893943","0.855160481","1.223166885","0.203265144","ATT","SVM"
"43","120.7188606","8.803704777","0.140236127","207.8089833","132.1076861","['touch.duration_mean' 'swipe_length_mean' 'button_touch_x_location_mean'
 'time_between_touches_mean' 'x_location.release_mean'
 'difference.touch_buttonCenter_x_mean' 'touchAccuracy_x_mean'
 'time_between_touches_median' 'difference.touch_buttonCenter_x_median'
 'target_touch_x_location_skew' 'time_between_touches_skew'
 'touch.duration_skew' 'touchAccuracy_y_skew' 'x_location.down_skew'
 'y_location.down_skew' 'y_location.release_skew' 'swipe_length_kurt'
 'target_touch_x_location_kurt' 'x_location.release_kurt'
 'touch.duration_std' 'swipe_length_std' 'swipe_length.x_std'
 'swipe_length.y_std' 'target_touch_y_location_std' 'touchAccuracy_std'
 'touchAccuracy_y_std' 'x_location.down_max' 'swipe_length_max'
 'swipe_length.x_min' 'button_touch_y_location_min'
 'x_location.release_min' 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_min' 'swipe_length_count'
 'swipe_length.y_count' 'button_touch_x_location_count'
 'target_touch_y_location_count' 'time_between_touches_count'
 'x_location.release_count' 'y_location.release_count'
 'difference.touch_buttonCenter_y_count' 'touchAccuracy_count'
 'touchAccuracy_y_count']","1.085413575","0.595610706","0.835890616","32.16964465","18.34294743","0.011785093","0.745030656","0.426824085","1.363411244","0.735035794","1.042485199","0.142238526","PQ","SVM"
"55","139.377094","105.155596","-1.333618502","250.771437","262.8699907","['x_location.down_mean' 'y_location.down_mean'
 'difference.touch_buttonCenter_x_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_mean'
 'touch.duration_median' 'difference.touch_buttonCenter_y_median'
 'target_touch_x_location_skew' 'touchAccuracy_x_skew'
 'touchAccuracy_y_skew' 'x_location.down_skew' 'x_location.release_skew'
 'y_location.release_skew' 'x_location.down_kurt' 'touch.duration_kurt'
 'button_touch_x_location_kurt' 'button_touch_y_location_kurt'
 'target_touch_x_location_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'x_location.down_std' 'y_location.down_std'
 'touch.duration_std' 'swipe_length_std' 'swipe_length.x_std'
 'target_touch_x_location_std' 'target_touch_y_location_std'
 'touchAccuracy_std' 'touchAccuracy_x_std' 'swipe_length.y_max'
 'x_location.release_max' 'touchAccuracy_max' 'touchAccuracy_y_max'
 'x_location.down_min' 'swipe_length_min' 'button_touch_x_location_min'
 'button_touch_y_location_min' 'x_location.release_min'
 'difference.touch_buttonCenter_x_min' 'touchAccuracy_x_min'
 'touchAccuracy_y_min' 'x_location.down_count' 'y_location.down_count'
 'touch.duration_count' 'swipe_length_count' 'swipe_length.x_count'
 'swipe_length.y_count' 'button_touch_x_location_count'
 'button_touch_y_location_count' 'target_touch_x_location_count'
 'target_touch_y_location_count' 'x_location.release_count'
 'difference.touch_buttonCenter_x_count'
 'difference.touch_buttonCenter_y_count' 'touchAccuracy_count']","1.051431994","0.759157471","1.153443617","30.9798893","26.34593506","0.023745214","0.554529446","-0.338664877","1.299910586","0.958842343","1.48843681","0.999392274","ATT","Linear regression"
"49","138.5074326","34.29713271","-0.304653005","237.7496654","174.8063208","['touch.duration_mean' 'swipe_length_mean' 'button_touch_x_location_mean'
 'time_between_touches_mean' 'difference.touch_buttonCenter_x_mean'
 'touchAccuracy_mean' 'touchAccuracy_y_mean' 'touch.duration_median'
 'time_between_touches_median' 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'target_touch_x_location_skew'
 'target_touch_y_location_skew' 'time_between_touches_skew'
 'touchAccuracy_y_skew' 'x_location.down_skew' 'y_location.down_skew'
 'x_location.down_kurt' 'touch.duration_kurt' 'swipe_length_kurt'
 'button_touch_x_location_kurt' 'target_touch_x_location_kurt'
 'touchAccuracy_kurt' 'touch.duration_std' 'swipe_length_std'
 'swipe_length.x_std' 'swipe_length.y_std' 'target_touch_x_location_std'
 'x_location.release_std' 'touchAccuracy_std' 'touchAccuracy_y_std'
 'touchAccuracy_y_max' 'x_location.down_min' 'button_touch_x_location_min'
 'button_touch_y_location_min' 'difference.touch_buttonCenter_x_min'
 'touchAccuracy_y_min' 'x_location.down_count' 'y_location.down_count'
 'touch.duration_count' 'swipe_length.x_count'
 'button_touch_x_location_count' 'button_touch_y_location_count'
 'target_touch_x_location_count' 'target_touch_y_location_count'
 'difference.touch_buttonCenter_y_count' 'touchAccuracy_count'
 'touchAccuracy_x_count' 'touchAccuracy_y_count']","1.179274321","0.628810298","0.896349583","32.7290713","18.6332202","-0.09583022","0.721063293","0.190912865","1.435730107","0.768861226","1.216616206","0.520064792","PQ","Linear regression"
"38","106.9913751","170.306037","-0.512347145","183.9547393","279.2723461","['swipe_length_mean' 'button_touch_x_location_mean'
 'time_between_touches_mean' 'difference.touch_buttonCenter_y_mean'
 'touchAccuracy_mean' 'touch.duration_median'
 'difference.touch_buttonCenter_x_skew' 'time_between_touches_skew'
 'touchAccuracy_x_skew' 'x_location.release_skew' 'x_location.down_kurt'
 'swipe_length_kurt' 'button_touch_y_location_kurt' 'y_location.down_std'
 'target_touch_x_location_std' 'target_touch_y_location_std'
 'touchAccuracy_std' 'y_location.down_max' 'swipe_length_max'
 'swipe_length.y_max' 'x_location.release_max' 'touchAccuracy_max'
 'touchAccuracy_y_max' 'x_location.down_min' 'y_location.down_min'
 'swipe_length_min' 'button_touch_x_location_min'
 'target_touch_x_location_min' 'x_location.release_min'
 'touchAccuracy_x_min' 'touchAccuracy_y_min' 'touch.duration_count'
 'swipe_length_count' 'swipe_length.y_count'
 'button_touch_x_location_count' 'target_touch_x_location_count'
 'touchAccuracy_count' 'touchAccuracy_x_count']","1.048901099","1.164555483","1.171071663","37.74294936","43.42192246","-0.004806286","0","-0.066849537","1.318782162","1.436796371","1.445383551","0.050517904","ATT","Lasso Regression"
"48","131.5344301","193.872634","-0.7416183","228.7513113","331.5142876","['x_location.down_mean' 'touch.duration_mean'
 'button_touch_x_location_mean' 'x_location.release_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_x_mean'
 'touch.duration_median' 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_y_skew' 'time_between_touches_skew'
 'touchAccuracy_skew' 'x_location.down_skew' 'x_location.release_skew'
 'y_location.down_skew' 'y_location.release_skew' 'x_location.down_kurt'
 'touch.duration_kurt' 'button_touch_y_location_kurt'
 'x_location.release_kurt' 'touchAccuracy_kurt' 'touch.duration_std'
 'swipe_length_std' 'swipe_length.x_std' 'swipe_length.y_std'
 'target_touch_y_location_std' 'touchAccuracy_std' 'touchAccuracy_x_std'
 'x_location.down_max' 'swipe_length_max' 'target_touch_x_location_max'
 'x_location.release_max' 'x_location.down_min' 'swipe_length.x_min'
 'button_touch_x_location_min' 'button_touch_y_location_min'
 'target_touch_x_location_min' 'difference.touch_buttonCenter_x_min'
 'difference.touch_buttonCenter_y_min' 'touchAccuracy_y_min'
 'x_location.down_count' 'swipe_length.x_count'
 'button_touch_x_location_count' 'button_touch_y_location_count'
 'target_touch_x_location_count' 'x_location.release_count'
 'difference.touch_buttonCenter_y_count' 'touchAccuracy_count']","1.178571429","1.20443547","1.212048637","37.14506739","40.84673458","-0.002712324","0.000388295","-0.093574281","1.373375664","1.45621186","1.467728983","0.086901037","PQ","Lasso Regression"
"41","105.4903614","153.6265407","-0.323691246","188.5297807","271.1954532","['x_location.down_mean' 'button_touch_x_location_mean'
 'time_between_touches_mean' 'difference.touch_buttonCenter_x_mean'
 'touchAccuracy_x_mean' 'touchAccuracy_y_mean' 'touch.duration_median'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'x_location.release_skew'
 'y_location.down_skew' 'y_location.release_skew' 'touch.duration_kurt'
 'swipe_length_kurt' 'button_touch_x_location_kurt'
 'button_touch_y_location_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'x_location.down_std' 'touch.duration_std'
 'swipe_length.y_std' 'target_touch_y_location_std' 'touchAccuracy_std'
 'x_location.down_max' 'swipe_length_max' 'swipe_length.y_max'
 'target_touch_x_location_max' 'x_location.release_max'
 'touchAccuracy_y_max' 'y_location.down_min' 'swipe_length.x_min'
 'button_touch_y_location_min' 'x_location.release_min'
 'difference.touch_buttonCenter_y_min' 'x_location.down_count'
 'y_location.down_count' 'swipe_length_count' 'swipe_length.x_count'
 'button_touch_y_location_count' 'difference.touch_buttonCenter_y_count']","0.992566593","1.044122883","1.05980005","35.11881409","38.66563335","0.121159541","0.163484134","0.097016825","1.233351635","1.313708222","1.333272684","0.068051289","ATT","Elastic Net"
"47","120.9127596","149.950698","-0.29293001","216.104289","284.7248172","['y_location.down_mean' 'button_touch_x_location_mean'
 'time_between_touches_mean' 'touchAccuracy_x_mean'
 'touch.duration_median' 'time_between_touches_median'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_skew' 'target_touch_x_location_skew'
 'target_touch_y_location_skew' 'touchAccuracy_skew'
 'touchAccuracy_x_skew' 'touchAccuracy_y_skew' 'x_location.down_skew'
 'y_location.down_skew' 'y_location.release_skew' 'x_location.down_kurt'
 'touch.duration_kurt' 'swipe_length_kurt' 'button_touch_y_location_kurt'
 'x_location.release_kurt' 'x_location.down_std' 'y_location.down_std'
 'touch.duration_std' 'swipe_length_std' 'swipe_length.x_std'
 'touchAccuracy_x_std' 'touchAccuracy_y_std' 'x_location.down_max'
 'swipe_length_max' 'swipe_length.y_max' 'target_touch_x_location_max'
 'touchAccuracy_max' 'touchAccuracy_y_max' 'y_location.down_min'
 'swipe_length.x_min' 'button_touch_y_location_min'
 'target_touch_y_location_min' 'x_location.release_min'
 'touchAccuracy_x_min' 'swipe_length.y_count'
 'button_touch_x_location_count' 'target_touch_x_location_count'
 'target_touch_y_location_count' 'x_location.release_count'
 'y_location.release_count' 'difference.touch_buttonCenter_x_count']","1.081542092","1.002433465","1.025556108","33.92841207","34.32477742","0.140367022","0.279997541","0.178137513","1.27162104","1.23542814","1.267595649","0.075130998","PQ","Elastic Net"
