#Features,Adjusted R2(Validation),Features,MAE(Train),MAE(Validation),MAPE(Validation),R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Target,Algorithm
10,-0.200167139,[ 0  1  2  5  6  8 10 11 13 14],3.711951976,3.936276341,11.21982601,0.285318523,-0.040144854,4.574612158,4.87605681,0.433156833,Agreeableness,Random Forest
7,0.289825976,[ 0  1  6  7  8 10 13],3.415775274,3.477565612,10.23392507,0.425359619,0.356108885,4.313732576,4.401597565,0.209947083,Conscientiousness,Random Forest
6,0.453634569,[ 0  1  7  9 11 12],3.038910501,3.109882598,11.31923134,0.637003949,0.497343803,4.066157238,4.235667935,0.236955706,Extraversion,Random Forest
8,-0.083275279,[ 0  1  2  6  8 10 11 12],5.53694225,5.866372081,27.67961185,0.505250235,0.032274084,6.719069531,7.133562372,0.904882639,Neuroticism,Random Forest
6,0.013691497,[ 0  1  7  8 10 11],3.321994949,3.518749257,10.63213385,0.407848367,0.092596177,4.514220377,4.879843113,0.552404257,Openness,Random Forest
4,-0.030166432,[ 0  9 11 12],3.627923171,3.76798726,11.15821903,0.258688841,0.024775777,4.659534231,4.783738483,0.363597148,Agreeableness,SVM
5,0.250909342,[ 0 11 12 13 14],3.426446694,3.605473035,10.68549734,0.386206296,0.300848719,4.458772136,4.600130424,0.188953719,Conscientiousness,SVM
4,0.356494607,[ 0 10 11 14],3.227281988,3.460477404,12.07804083,0.608259914,0.390814895,4.223840913,4.457562766,0.38949149,Extraversion,SVM
4,0.109311138,[ 0  9 12 14],6.130332869,6.344113229,34.78019929,0.404950445,0.156814544,7.372257767,7.572093613,0.377132707,Neuroticism,SVM
3,0.080749805,[ 0  9 12],3.277650398,3.516672622,10.70101705,0.399622668,0.117519813,4.545011816,4.750884361,0.52730755,Openness,SVM
3,-0.310128543,[ 1  5 12],4.071577695,4.408054668,13.04464407,-0.007211114,-0.257723401,5.433732958,5.822071874,0.3239963,Agreeableness,Linear regression
1,-0.126449752,[4],4.543350221,4.550210904,13.90187743,-0.000189862,-0.111430422,5.691546181,5.758066581,0.11737194,Conscientiousness,Linear regression
2,0.367358365,[0 3],3.397327211,3.527787609,12.47543799,0.590780131,0.384228808,4.315191705,4.519281625,0.350043002,Extraversion,Linear regression
3,0.184284507,[0 3 9],5.789606383,5.603946927,30.52707358,0.406467727,0.216913127,7.364378144,7.165220363,0.401600212,Neuroticism,Linear regression
3,-0.039902266,[ 0  4 11],3.517591024,3.688633667,11.28191107,0.330306695,0.001693825,4.800287851,5.062737913,0.656152928,Openness,Linear regression
5,-0.049954659,[ 0  5  6 10 14],3.661764215,3.759838666,11.15602456,0.264532069,0.020042319,4.640579027,4.767088742,0.379286935,Agreeableness,Lasso Regression
6,0.26556569,[ 0  6  9 11 12 14],3.528909738,3.584189584,10.73062709,0.375946587,0.324320435,4.496389962,4.55308574,0.204114461,Conscientiousness,Lasso Regression
5,0.373894509,[0 1 2 4 9],3.278122228,3.446272761,12.12946207,0.615945596,0.415634875,4.178054295,4.488463337,0.256363272,Extraversion,Lasso Regression
5,0.079602481,[ 0  4  5 10 11],6.158260091,6.345859882,34.17320272,0.409522222,0.140962316,7.341076,7.577332998,0.422749662,Neuroticism,Lasso Regression
3,0.003086381,[0 5 7],3.481161285,3.617794942,11.22382458,0.344266792,0.042962926,4.75037902,5.007985463,0.59504302,Openness,Lasso Regression
2,-0.003275895,[ 0 14],3.663460323,3.75649276,11.16102182,0.263539505,0.023478129,4.643822096,4.763938332,0.37167539,Agreeableness,Elastic Net
2,0.311477127,[0 9],3.500025099,3.558923527,10.63912667,0.385684811,0.329837737,4.461198979,4.530879979,0.221712161,Conscientiousness,Elastic Net
6,0.377639008,[ 0  1  2  3  7 12],3.219560804,3.409337549,11.81275183,0.634085215,0.427427888,4.076917231,4.456054649,0.227195755,Extraversion,Elastic Net
5,0.101269229,[ 0  7  9 10 11],6.344163791,6.505518859,35.512765,0.378387904,0.161184614,7.534325777,7.721655542,0.311948605,Neuroticism,Elastic Net
4,0.006653038,[ 0  7 11 12],3.466082332,3.588708272,11.18161211,0.35207875,0.059631542,4.722082856,4.961998097,0.586474852,Openness,Elastic Net
11,0.443206779,"PC1,PC3,PC4,PC5,PC6,PC8,PC9,PC10,PC12,PC13,PC14",5.893254536,5.893254536,21.01818856,0.524869784,0.524869784,7.467316803,7.467316803,0.229576222,Neuroticism,MARS
7,0.603727815,"PC1,PC2,PC6,PC9,PC10,PC12,PC13",3.505868347,3.505868347,9.139220269,0.640713219,0.640713219,4.446201265,4.446201265,0.139326441,Extraversion,MARS
11,0.31894244,"PC1,PC3,PC5,PC6,PC7,PC8,PC10,PC11,PC13,PC14,PC15",3.690909994,3.690909994,8.909795894,0.418830883,0.418830883,4.909854505,4.909854505,0.353468681,Openness,MARS
9,0.070496466,"PC1,PC2,PC4,PC7,PC8,PC9,PC10,PC13,PC14",4.421837993,4.421837993,9.43218218,0.18203689,0.18203689,5.519610001,5.519610001,0.173998963,Agreeableness,MARS
9,0.388977636,"PC1,PC2,PC4,PC9,PC10,PC11,PC12,PC13,PC15",3.535803654,3.535803654,8.463858895,0.46230032,0.46230032,4.295322631,4.295322631,0.161357829,Conscientiousness,MARS
