"#Features","Adjusted R2(Validation)","Features","MAE(Train)","MAE(Validation)","MAPE(Validation)","R2(Train)","R2(Validation)","RMSE(Train)","RMSE(Validation)","StandardError(Validation)","Target","Algorithm"
12,-0.682991518294751,"['touchAccuracy_median' 'touchAccuracy_x_median'
 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'target_touch_x_location_skew'
 'target_touch_x_location_kurt' 'touchAccuracy_kurt'
 'x_location.release_std' 'x_location.release_max'
 'y_location.release_max' 'x_location.down_min' 'x_location.release_min']",3.45855514218855,4.32628868884149,10.6220318636916,0.363383043442148,-0.413712875367591,4.3170998599587,5.41557136017819,0.938328443889002,"Agreeableness","Linear regression"
11,-0.00346867393287376,"['y_location.down_mean' 'touchAccuracy_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_x_location_skew'
 'swipe_length_kurt' 'target_touch_x_location_kurt' 'touchAccuracy_kurt'
 'touchAccuracy_y_kurt' 'swipe_length_max' 'x_location.release_min'
 'touchAccuracy_y_min']",3.09466397146149,3.76711732881883,9.18601329626927,0.499855080033932,0.143706731577281,4.02424830943571,4.89678231483871,0.322107780216408,"Conscientiousness","Linear regression"
14,0.170688031862331,"['swipe_length_mean' 'time_between_touches_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_y_mean'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_x_skew'
 'difference.touch_buttonCenter_y_skew' 'touchAccuracy_x_skew'
 'y_location.down_kurt' 'swipe_length.y_kurt'
 'target_touch_x_location_kurt' 'touchAccuracy_kurt' 'x_location.down_std'
 'swipe_length.y_max']",2.85360183015691,3.47696188829232,10.3147866328863,0.687763518526259,0.325492932581363,3.76620571693353,4.6597745947498,0.342075153770412,"Extraversion","Linear regression"
13,-0.211744292958497,"['difference.touch_buttonCenter_x_skew' 'target_touch_x_location_skew'
 'touch.duration_skew' 'x_location.release_kurt' 'touchAccuracy_y_kurt'
 'x_location.down_std' 'swipe_length_std' 'touchAccuracy_y_std'
 'y_location.release_max' 'difference.touch_buttonCenter_y_max'
 'x_location.down_min' 'target_touch_x_location_min' 'touchAccuracy_y_min']",5.09270038349824,6.20177531944223,26.4551461224372,0.55193228424438,-0.00170861551235753,6.39740826881121,7.66412397986257,0.718501607018292,"Neuroticism","Linear regression"
22,-0.585224343651732,"['x_location.down_mean' 'y_location.down_mean'
 'button_touch_x_location_mean' 'button_touch_y_location_mean'
 'target_touch_y_location_mean' 'y_location.release_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_x_mean'
 'touchAccuracy_median' 'touchAccuracy_y_median'
 'target_touch_x_location_skew' 'touchAccuracy_skew'
 'touchAccuracy_y_skew' 'swipe_length.y_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'x_location.release_std' 'touchAccuracy_y_std'
 'y_location.release_max' 'x_location.down_min' 'y_location.down_min'
 'x_location.release_min']",3.01712480542915,4.09388281273643,9.7180936818328,0.554182038609207,-0.120225202847224,3.91773338120721,5.24975892273578,0.676534959690517,"Openness","Linear regression"
19,-0.0787381467822945,"['touch.duration_mean' 'swipe_length_mean'
 'difference.touch_buttonCenter_x_mean'
 'difference.touch_buttonCenter_y_mean'
 'difference.touch_buttonCenter_y_median' 'target_touch_x_location_skew'
 'target_touch_y_location_skew' 'y_location.down_kurt' 'swipe_length_kurt'
 'target_touch_x_location_kurt' 'touchAccuracy_kurt'
 'touchAccuracy_x_kurt' 'swipe_length_std' 'x_location.release_std'
 'target_touch_y_location_mad' 'swipe_length_max'
 'difference.touch_buttonCenter_y_max' 'y_location.down_min'
 'x_location.release_min']",3.2840564828482,3.36303153026574,10.0376419799206,0.384820424718637,0.194542183735887,4.24425274739046,4.37426883356673,0.301247317283257,"Agreeableness","Lasso Regression"
27,-0.0402657423023822,"['y_location.down_mean' 'touch.duration_mean' 'swipe_length_mean'
 'target_touch_y_location_mean' 'touchAccuracy_x_mean'
 'touchAccuracy_y_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_x_median' 'touchAccuracy_median'
 'difference.touch_buttonCenter_y_skew' 'time_between_touches_skew'
 'touchAccuracy_x_skew' 'y_location.down_skew' 'swipe_length_kurt'
 'target_touch_x_location_kurt' 'x_location.release_kurt'
 'x_location.down_std' 'y_location.down_std' 'x_location.release_std'
 'touchAccuracy_y_std' 'x_location.down_max' 'y_location.release_max'
 'difference.touch_buttonCenter_y_max' 'touchAccuracy_y_max'
 'y_location.down_min' 'target_touch_x_location_min'
 'x_location.release_min']",3.35149016601423,3.63103513218886,10.227620633794,0.427715838203272,0.334229924926475,4.30567001005695,4.56995019427769,0.154895387392014,"Conscientiousness","Lasso Regression"
24,0.136456999880151,"['x_location.down_mean' 'y_location.down_mean'
 'target_touch_y_location_mean' 'difference.touch_buttonCenter_y_mean'
 'touchAccuracy_x_mean' 'touchAccuracy_y_mean' 'touchAccuracy_y_median'
 'time_between_touches_skew' 'touch.duration_skew' 'touchAccuracy_x_skew'
 'touchAccuracy_y_skew' 'y_location.down_skew'
 'target_touch_x_location_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'touchAccuracy_y_kurt' 'x_location.down_std'
 'y_location.down_std' 'swipe_length.x_std' 'button_touch_y_location_std'
 'swipe_length.x_max' 'swipe_length.y_max' 'x_location.release_max'
 'y_location.release_max']",3.26892052578237,3.5761667138309,12.1874732616673,0.635130291575994,0.412790759918503,4.0713514993091,4.47749907167649,0.2709880632645,"Extraversion","Lasso Regression"
28,-0.283480741159877,"['y_location.down_mean' 'touch.duration_mean'
 'target_touch_y_location_mean' 'difference.touch_buttonCenter_y_mean'
 'touchAccuracy_x_mean' 'touchAccuracy_y_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_x_median' 'touchAccuracy_x_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_y_location_skew'
 'time_between_touches_skew' 'touch.duration_skew' 'touchAccuracy_skew'
 'y_location.down_skew' 'swipe_length_kurt' 'swipe_length.y_kurt'
 'target_touch_x_location_kurt' 'x_location.release_kurt'
 'touchAccuracy_y_kurt' 'y_location.down_std' 'swipe_length.x_std'
 'x_location.down_max' 'y_location.down_max' 'swipe_length.x_max'
 'button_touch_x_location_max' 'difference.touch_buttonCenter_y_max'
 'x_location.release_min']",5.54235953611899,6.32916106544129,30.6071395749728,0.50689441518855,0.195685402206477,6.71014717108528,7.67483645642746,0.31801207574677,"Neuroticism","Lasso Regression"
33,-0.706552155587775,"['x_location.down_mean' 'y_location.down_mean'
 'button_touch_x_location_mean' 'target_touch_y_location_mean'
 'y_location.release_mean' 'touchAccuracy_mean' 'touchAccuracy_x_mean'
 'touchAccuracy_y_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_y_median'
 'difference.touch_buttonCenter_y_skew' 'touch.duration_skew'
 'touchAccuracy_skew' 'touchAccuracy_y_skew' 'y_location.down_skew'
 'y_location.down_kurt' 'swipe_length_kurt' 'target_touch_x_location_kurt'
 'touchAccuracy_kurt' 'touchAccuracy_x_kurt' 'touchAccuracy_y_kurt'
 'x_location.down_std' 'y_location.down_max' 'swipe_length_max'
 'swipe_length.x_max' 'button_touch_x_location_max'
 'x_location.release_max' 'x_location.down_min' 'y_location.down_min'
 'target_touch_x_location_min' 'y_location.release_min'
 'touchAccuracy_y_min']",3.43254518425509,3.7690707585673,11.2795216772984,0.378247410262832,0.044330792870846,4.62317128503434,5.06208801156337,0.463215112274423,"Openness","Lasso Regression"
19,-0.11036357159823,"['x_location.down_mean' 'y_location.down_mean' 'swipe_length_mean'
 'time_between_touches_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_y_location_skew'
 'swipe_length.y_kurt' 'x_location.down_std' 'x_location.release_std'
 'x_location.down_max' 'swipe_length.y_max' 'x_location.release_max'
 'y_location.release_max' 'touchAccuracy_y_max' 'y_location.release_min'
 'touchAccuracy_y_min']",3.21436762059706,3.4034151002417,9.80108922922604,0.406718468498324,0.170928533206655,4.16812829129531,4.43160935580142,0.27439160438286,"Agreeableness","Elastic Net"
17,0.141310308613929,"['x_location.down_mean' 'y_location.down_mean' 'touch.duration_mean'
 'y_location.release_mean' 'touchAccuracy_y_mean'
 'y_location.release_median' 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_median' 'touchAccuracy_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_x_location_skew'
 'y_location.down_skew' 'y_location.down_kurt' 'touchAccuracy_kurt'
 'y_location.down_std' 'swipe_length.y_max'
 'difference.touch_buttonCenter_y_max']",3.3315897721384,3.55594147879425,10.1667310867639,0.444007983992088,0.335946638661438,4.24329146760989,4.49344490156857,0.154596194733029,"Conscientiousness","Elastic Net"
30,-0.00362248163526524,"['y_location.down_mean' 'swipe_length_mean' 'button_touch_x_location_mean'
 'button_touch_y_location_mean' 'y_location.release_mean'
 'difference.touch_buttonCenter_y_mean' 'touchAccuracy_mean'
 'touchAccuracy_x_mean' 'touchAccuracy_y_mean'
 'difference.touch_buttonCenter_y_median'
 'difference.touch_buttonCenter_x_skew' 'target_touch_x_location_skew'
 'time_between_touches_skew' 'touchAccuracy_skew' 'touchAccuracy_x_skew'
 'target_touch_x_location_kurt' 'x_location.release_kurt'
 'touchAccuracy_x_kurt' 'y_location.down_std' 'swipe_length_std'
 'swipe_length.x_std' 'x_location.release_std' 'x_location.down_max'
 'y_location.down_max' 'swipe_length_max' 'swipe_length.y_max'
 'button_touch_x_location_max' 'target_touch_x_location_min'
 'y_location.release_min' 'touchAccuracy_y_min']",3.04795448862471,3.54629902118293,11.301916304059,0.679102920089387,0.397826511018841,3.8166630805272,4.47563062184654,0.333474395476751,"Extraversion","Elastic Net"
27,-0.296362454448351,"['x_location.down_mean' 'y_location.down_mean' 'touch.duration_mean'
 'swipe_length_mean' 'button_touch_x_location_mean' 'touchAccuracy_mean'
 'touchAccuracy_y_mean' 'y_location.release_median'
 'difference.touch_buttonCenter_x_median' 'touchAccuracy_median'
 'touchAccuracy_x_median' 'touchAccuracy_y_median'
 'difference.touch_buttonCenter_x_skew' 'touchAccuracy_x_skew'
 'y_location.down_skew' 'swipe_length_kurt' 'x_location.release_kurt'
 'touchAccuracy_kurt' 'x_location.down_std' 'y_location.down_std'
 'button_touch_y_location_std' 'touchAccuracy_y_std'
 'target_touch_y_location_mad' 'x_location.down_max' 'swipe_length_max'
 'target_touch_x_location_min' 'y_location.release_min']",6.02403316415819,6.47620735179535,33.7840838503985,0.432686334346713,0.170328029153055,7.1972969657046,7.72791259770765,0.297018464147506,"Neuroticism","Elastic Net"
36,-0.793077544085869,"['x_location.down_mean' 'y_location.down_mean' 'swipe_length_mean'
 'button_touch_x_location_mean' 'button_touch_y_location_mean'
 'target_touch_y_location_mean' 'time_between_touches_mean'
 'y_location.release_mean' 'difference.touch_buttonCenter_y_mean'
 'touchAccuracy_mean' 'touchAccuracy_x_mean'
 'difference.touch_buttonCenter_x_median'
 'difference.touch_buttonCenter_y_skew' 'target_touch_x_location_skew'
 'target_touch_y_location_skew' 'touch.duration_skew' 'touchAccuracy_skew'
 'touchAccuracy_x_skew' 'touchAccuracy_y_skew' 'y_location.down_skew'
 'y_location.down_kurt' 'target_touch_x_location_kurt'
 'x_location.release_kurt' 'touchAccuracy_kurt' 'touchAccuracy_y_kurt'
 'x_location.down_std' 'swipe_length.x_std' 'y_location.down_max'
 'swipe_length.x_max' 'swipe_length.y_max' 'x_location.release_max'
 'y_location.release_max' 'x_location.down_min' 'y_location.down_min'
 'target_touch_x_location_min' 'y_location.release_min']",3.23225209486319,3.64085056435714,10.6096267161238,0.441043139818828,0.0675996770753482,4.38574439068474,4.99467160953825,0.509353604278049,"Openness","Elastic Net"
20,0.11003689758937,"target_touch_x_location_skew,y_location.down_skew,y_location.down_kurt,x_location.release_kurt,difference.touch_buttonCenter_x_kurt,touchAccuracy_y_kurt,swipe_length.y_quantile,target_touch_x_location_quantile,x_location.release_quantile,swipe_length.x_mad,swipe_length.y_mad,time_between_touches_mad,touchAccuracy_y_mad,y_location.down_mad,touch.duration_max,time_between_touches_max,x_location.release_max,difference.touch_buttonCenter_y_max,touchAccuracy_max,touchAccuracy_min",7.87569260981759,7.87569260981759,19.6002155708923,0.347360391565538,0.347360391565538,10.0884813476285,10.0884813476285,0.270192248453851,"Neuroticism","MARS"
12,0.584012521820706,"touchAccuracy_y_mean,x_location.release_skew,button_touch_x_location_kurt,button_touch_y_location_kurt,x_location.release_kurt,target_touch_x_location_quantile,touchAccuracy_quantile,touchAccuracy_y_quantile,touchAccuracy_y_mad,difference.touch_buttonCenter_y_max,x_location.down_min,touchAccuracy_y_count",3.5370281367319,3.5370281367319,7.86513158162892,0.650570518329393,0.650570518329393,4.40185472564202,4.40185472564202,0.195083365858319,"Extraversion","MARS"
12,0.15358497266302,"touchAccuracy_x_mean,touchAccuracy_x_skew,touchAccuracy_y_skew,difference.touch_buttonCenter_x_kurt,difference.touch_buttonCenter_x_quantile,swipe_length.y_quantile,target_touch_y_location_mad,touch.duration_max,target_touch_y_location_max,touchAccuracy_y_max,target_touch_x_location_min,hit_rate",5.38671362353489,5.38671362353489,9.91453722895403,0.289011377036937,0.289011377036937,7.18350338051659,7.18350338051659,0.223811632797925,"Openness","MARS"
27,0.0959388825203392,"touchAccuracy_mean,touchAccuracy_x_mean,touchAccuracy_y_mean,swipe_length.y_skew,touchAccuracy_skew,y_location.down_kurt,swipe_length_kurt,swipe_length.y_kurt,difference.touch_buttonCenter_x_kurt,touchAccuracy_kurt,touchAccuracy_y_kurt,target_touch_x_location_quantile,touchAccuracy_y_quantile,y_location.release_quantile,difference.touch_buttonCenter_y_mad,swipe_length.y_mad,target_touch_y_location_mad,y_location.release_mad,y_location.down_max,swipe_length_max,swipe_length.x_max,target_touch_x_location_max,difference.touch_buttonCenter_x_max,difference.touch_buttonCenter_y_max,y_location.down_min,touchAccuracy_x_min,touchAccuracy_y_count",3.91471385250531,3.91471385250531,8.28069734916274,0.421400884813017,0.421400884813017,4.69644151067976,4.69644151067976,0.238167626993366,"Agreeableness","MARS"
30,-0.197047140738482,"touchAccuracy_mean,touchAccuracy_x_skew,y_location.down_kurt,touch.duration_kurt,button_touch_x_location_kurt,button_touch_y_location_kurt,x_location.release_kurt,difference.touch_buttonCenter_y_kurt,touchAccuracy_y_kurt,y_location.release_quantile,button_touch_y_location_mad,difference.touch_buttonCenter_x_mad,swipe_length.x_mad,x_location.down_mad,y_location.down_mad,y_location.release_mad,touch.duration_max,swipe_length_max,target_touch_y_location_max,x_location.release_max,y_location.release_max,difference.touch_buttonCenter_x_max,difference.touch_buttonCenter_y_max,touchAccuracy_max,touchAccuracy_x_max,touchAccuracy_y_max,x_location.down_min,y_location.release_min,touchAccuracy_min,touchAccuracy_y_count",4.56733728697375,4.56733728697375,8.18185375739698,0.281771715556911,0.281771715556911,5.83236229575114,5.83236229575114,0.225200546069008,"Conscientiousness","MARS"
