R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),AIC(Validation),BIC(Validation),MAPE(Validation),Target,Algorithm
0.4725067204169127,0.3287371639009608,1.0100503431602366,1.1196749661662913,0.17063193188193237,0.30904678737538904,0.8145588565525864,0.8983389717827056,65.9826619852379,168.28880105416118,27.321406980241527,ATT,Random Forest
0.6143344057862048,0.5058989363088614,0.9353282741011335,1.0443060844157108,0.1339150713219617,0.49140530510725466,0.7389938490962833,0.8234257719419696,-53.901467505258864,48.40467156366444,22.758795552788712,PQ,Random Forest
0.4343694602255459,0.3427006643366382,1.0459714358438394,1.1116996010632487,0.1485791213125069,0.3234198838238461,0.8425891617664962,0.901043850304317,114.06442521897631,216.3705642878996,28.52763695890324,ATT,SVM
0.6043355245597083,0.5060082440190713,0.9474372289281405,1.0516895915499527,0.10519845837564325,0.49151781917696413,0.7737142489839062,0.8446602436788884,-35.074655311242935,67.23148375768037,23.8087875250486,PQ,SVM
0.40943054035606996,0.32269180306453615,1.0687573352778807,1.1256313747234652,0.1518615392825123,0.30282409595442916,0.8654674912377972,0.9118060431367728,151.79953860586056,254.10567767478386,29.144370969580763,ATT,Linear Regression SGD
0.5463535006457547,0.49561254856607584,1.0144814279009498,1.059650406660283,0.10137936761074635,0.480817183324014,0.8154065637784015,0.8540269615191022,67.8439947446416,170.1501338135649,25.266796758117195,PQ,Linear Regression SGD
0.4118204282989154,0.3242087728266789,1.066593332082264,1.1237502578481868,0.15675099236853737,0.30438556349626156,0.8644982541933798,0.911051654671647,147.69946819330715,250.00560726223046,28.977737751006,ATT,Linear Regression
0.5493572578311763,0.4943300890371703,1.011112502065513,1.0602614919359548,0.10710372843640223,0.4794971049822605,0.8138781835009089,0.8530548952768711,64.82891928533111,167.13505835425443,25.33391519230472,PQ,Linear Regression
0.28625335500744314,0.2603370112150506,1.1749156764623572,1.1841236056189024,0.10896868901981471,0.23864023021069214,0.9546020948833955,0.9612454319349722,293.82989617510987,396.1360352440331,33.119004037031615,ATT,Lasso Regression
0.41663825560443996,0.4069896226548334,1.1503499192558329,1.1550727965193963,0.0878272146388642,0.3895946515860418,0.9450644046422486,0.9486389295334833,260.8936193254331,363.1997583943564,30.080319088399982,PQ,Lasso Regression
0.318159367692252,0.29086797056474495,1.1483706145030625,1.1577112335366397,0.13440226579381298,0.2700667643679775,0.9305173451573717,0.9372430034839045,258.55333405043046,360.85947311935377,31.91535631280784,ATT,Elastic Net
0.4422046526816338,0.43044254622646333,1.1248746936612695,1.1297533106969597,0.10482259265786151,0.4137355275824396,0.9153780726479521,0.9191561165104679,226.30961804279266,328.615757111716,28.90603103828132,PQ,Elastic Net
0.3745649649413195,0.3246062477546831,1.0998742401775756,1.124827454195174,0.1617602012132511,0.3047946976888205,0.8945714951831233,0.9105985773573055,186.7919138184636,289.09805288738687,29.706980004414046,ATT,MARS
0.5257777384669445,0.4950247427526993,1.03717243672322,1.0540587352727602,0.15344982517568323,0.4802121352067784,0.8174299642580543,0.8280005802552993,97.11605655639471,199.422195625318,25.303210305790387,PQ,MARS
