R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),AIC(Validation),BIC(Validation),MAPE(Validation),Target,Algorithm
0.45078035701498154,0.30102641024111676,1.0306422003804094,1.1397847944694788,0.1536028131299905,0.2776337198208061,0.8357010476077461,0.9220352889998072,106.53593821453097,222.79291442921652,27.799760275919365,ATT,Random Forest
0.5989727474174182,0.4622552198503083,0.9537641381513375,1.0946010969567486,0.1538389895688589,0.44425840659228644,0.7547142454788406,0.8725654278959305,-19.808658441331005,96.44831777335455,23.38941453408123,PQ,Random Forest
0.448839253744849,0.32569735194695293,1.0324896524352287,1.1248266460474396,0.15593065037247786,0.30313032891974256,0.8256822949143785,0.9044158899170076,102.8827895029413,219.13976571762686,27.739795561176205,ATT,SVM
0.5629415116450726,0.4763297617354236,0.9957817543489715,1.0827374236820444,0.11437323392354165,0.45880398401572564,0.7995083846635517,0.8663436378752505,47.651541419855924,163.90851763454148,24.96544902622962,PQ,SVM
0.40119929755338185,0.30516058982493205,1.0761256894498488,1.136860579983373,0.16003499004566432,0.2819062588284439,0.8646520968391729,0.9112052529754434,167.41305495471315,283.6700311693987,28.836106694415015,ATT,Linear Regression SGD
0.5166871884285318,0.4520705737808803,1.0471238532478588,1.1033901314542267,0.11100621678065589,0.4337329089141093,0.8355200971715832,0.8817773788097069,123.87908682596763,240.1360630406532,26.048911202003328,PQ,Linear Regression SGD
0.4067149221823699,0.30281343673768474,1.0711802885925923,1.1383081197080034,0.1666791790698278,0.2794805530943676,0.8604164559607377,0.9158683381883291,160.71379750169106,276.9707737163766,28.602685171751457,ATT,Linear Regression
0.5206135830076022,0.4530715876685744,1.0428550817061908,1.103132222921961,0.10907050877101374,0.4347674239359297,0.8309909144916585,0.8776725544405389,118.93498837542965,235.19196459011522,25.879211570686333,PQ,Linear Regression
0.1655671144989268,0.12947793943030492,1.2703552844068644,1.2842422734119099,0.07043354142099102,0.10034400166023494,1.038103754671266,1.0512933299278353,420.72666427129406,536.9836404859795,36.248800855597544,ATT,Lasso Regression
0.2897287092705597,0.27576781496441777,1.2693154042247634,1.277117190496997,0.06257491847715314,0.2515297900301614,1.0584815431858436,1.0642368564386289,419.30675961238234,535.5637358270678,33.67593977811783,PQ,Lasso Regression
0.2310152484345956,0.19052742834799902,1.219520299298559,1.2369902454030317,0.11053402535420312,0.16343664616419706,0.995264066774167,1.0103904012952545,358.2573073510887,474.51428356577424,34.342650603488536,ATT,Elastic Net
0.35265601468025337,0.3306377023921776,1.2117718450287933,1.224769633886722,0.08420892029046737,0.3082360190719694,1.0018961831350737,1.011755295424595,347.74353193888777,464.0005081535733,31.743269856939744,PQ,Elastic Net
0.4285116535628962,0.3250800079509403,1.051293769340569,1.1191740170133047,0.14083840818444487,0.3024923241474242,0.8479955453035851,0.9031644916697668,145.4897380288175,261.74671424350305,28.796307989618697,ATT,MARS
0.5237212063289368,0.4215039361734936,1.0394852364023714,1.1397249084598389,0.12206968473256229,0.4021432914671179,0.8247313721548274,0.9019702985485529,109.77849906014399,226.03547527482954,25.697206371491767,PQ,MARS
