R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),AIC(Validation),BIC(Validation),MAPE(Validation),Target,Algorithm
0.4164750957755288,0.329044647327837,1.062368972189615,1.1257966879512031,0.12736105996652747,0.32642713619907704,0.8510259781034023,0.9023861912529659,112.1130561122065,126.06389325796876,28.76451313052002,ATT,Random Forest
0.5409770764191917,0.4899738112718068,1.020432654710281,1.0616561534761235,0.1411290419117201,0.4879841122260532,0.8081845526234617,0.840110418186549,39.558455984796396,53.50929313055866,24.95163691759824,PQ,Random Forest
0.380378324242096,0.3207939147980683,1.0947603685515954,1.1307099811355024,0.1554501957340547,0.31814421615618826,0.8749616775437387,0.909711419892784,147.46518367134442,161.4160208171067,28.990807565632952,ATT,SVM
0.5170033046852464,0.476287883975127,1.0467519659740099,1.0775723077136126,0.14742051881062535,0.47424479379557616,0.8279317672762172,0.8546272830121838,77.6979620481446,91.64879919390687,25.49412931141602,PQ,SVM
0.3355690535439559,0.3003290331080589,1.1336191182022652,1.1463502350217971,0.160750247357285,0.29759949747649084,0.9145391299093436,0.9271464650654492,201.61255713025005,215.56339427601233,30.88436036155918,ATT,Linear Regression SGD
0.4590140692777007,0.44311802450978344,1.107804398952983,1.1115120099216034,0.1410494816719693,0.44094553305793605,0.8853051342200929,0.8906892826408037,162.88922937402464,176.84006651978692,27.377311619444868,PQ,Linear Regression SGD
0.337831616172353,0.29754340159127574,1.1316820294155205,1.1476771909346766,0.16960377044779057,0.2948029987366253,0.9128082228515575,0.9266502447855359,198.33693385479867,212.28777100056095,30.643165253421884,ATT,Linear Regression
0.46114670073315234,0.43797539995404483,1.1056095598410935,1.116150297738736,0.14365687123198595,0.43578284624775365,0.8847709562438887,0.8935337025942722,161.9519942878451,175.9028314336074,27.441407000141332,PQ,Linear Regression
0.2862533604815991,0.26033701772206763,1.1749156719633957,1.1841236008194072,0.10896868763305115,0.25745146642579475,0.9546020925831316,0.9612454290637716,255.82989023586387,269.78072738162615,33.11900392982665,ATT,Lasso Regression
0.41663825420775036,0.4069896211995624,1.1503499206320391,1.1550727979314304,0.0878272141288985,0.40467618669188843,0.945064405951072,0.9486389309202681,222.89362117887464,236.84445832463692,30.080319131446416,PQ,Lasso Regression
0.3181593676924329,0.29086796986495905,1.1483706145011716,1.1577112338998496,0.13440226924996473,0.288101525013977,0.9305173439040555,0.9372430028221206,220.55333407595236,234.50417122171464,31.91535631168198,ATT,Elastic Net
0.442204648394557,0.4304425414808256,1.1248746979801816,1.1297533152323596,0.10482259480338207,0.4282206008103997,0.9153780759631287,0.9191561201982862,188.30962399560948,202.26046114137176,28.90603114218312,PQ,Elastic Net
0.370287831854624,0.33327789196171603,1.1036073662361638,1.1188927339572163,0.15606613843252704,0.33067689544141066,0.8946025450947597,0.9053794962282353,159.8150247724069,173.76586191816918,29.87065016811115,ATT,MARS
0.5340596970442,0.4951785726362321,1.0280904802348132,1.0542533360707418,0.15399087633699513,0.4932091782511979,0.8113477578020621,0.8354197659182259,46.31960151630088,60.27043866206314,25.15806575944882,PQ,MARS
