R2(Train),R2(Validation),RMSE(Train),RMSE(Validation),StandardError(Validation),Adjusted R2(Validation),MAE(Train),MAE(Validation),AIC(Validation),BIC(Validation),MAPE(Validation),Target,Algorithm
0.42117881813455804,0.2902105768300943,1.0580520402812772,1.154158331509244,0.13386653240884375,0.28744156737689575,0.856569973513914,0.9378814806305936,109.87132862705273,123.822165772815,29.14984938900031,ATT,Random Forest
0.5353194509500444,0.4551329788634347,1.0266647853588997,1.0989990624069437,0.16801247524306043,0.4530073597952815,0.8092503556513158,0.8675038434570732,52.29752374613219,66.24836089189446,24.90081032829525,PQ,Random Forest
0.3784761448356357,0.29111053362044254,1.0963849816971107,1.152666425216207,0.13191456833113768,0.2883450350519917,0.8829299897066974,0.9247069574286166,151.32027972203275,165.27111686779503,29.274371713016244,ATT,SVM
0.5066198061498588,0.45041909599904334,1.0578965413922437,1.1025323572475927,0.12604023252485053,0.4482750872708211,0.8335395965210786,0.8743255044818791,93.47946202952848,107.43029917529074,25.944235364498276,PQ,SVM
0.2712777945280239,0.24030304067513444,1.1871783738684767,1.1938636808147665,0.13595522133510796,0.2373393334215913,0.9671820156251879,0.9714657652339026,276.1275646462677,290.0784017920299,32.7128000760139,ATT,Linear Regression SGD
0.37887730184557644,0.37035990264750923,1.1870284114540368,1.182562982784598,0.09684471003785766,0.3679035693678506,0.9658973230977818,0.9657018221171588,265.5482966202249,279.49913376598715,29.932613921466984,PQ,Linear Regression SGD
0.27560025061676346,0.22943548756804807,1.1836446228075683,1.20097446687359,0.14709419408041025,0.22642938413853464,0.9642154498547842,0.9771557468839679,267.75843684302555,281.7092739887878,32.42678714180763,ATT,Linear Regression
0.38686959418586514,0.3581104290744967,1.1793328826587333,1.1921924061536278,0.10692907907441764,0.3556063085117185,0.9598396761792373,0.9705393367214195,261.80405115293297,275.7548882986953,29.852364691194026,PQ,Linear Regression
0.1655671908124009,0.12947801831406403,1.2703552262769084,1.2842422132481839,0.07043355748087342,0.1260819637691254,1.0381037126157897,1.051293284588861,376.7265933628253,390.6774305085876,36.2487988664118,ATT,Lasso Regression
0.28972869287187264,0.27576780734900486,1.2693154189440448,1.277117200391404,0.06257490890289327,0.2729424541917188,1.0584815681332136,1.0642368738532346,375.3067771244021,389.25761427016437,33.67594090561532,PQ,Lasso Regression
0.23058028593747806,0.19081497329919872,1.2198619749281172,1.2367673932049348,0.11017618453686587,0.18765820466447514,0.9955055527255292,1.0104502224918928,314.2566126478034,328.2074497935657,34.342635192421206,ATT,Elastic Net
0.3467789322286654,0.32611000836152987,1.2172729034719247,1.2287652779443012,0.08368842175342181,0.3234810487062433,1.0080278600475352,1.01627019663598,310.67122248301314,324.6220596287754,31.90220830354567,PQ,Elastic Net
0.3622786793431289,0.2722987581319903,1.1105770435836755,1.166868971781201,0.11992655991795807,0.2694598716227522,0.8987746837022248,0.9438112391658386,175.7776905552139,189.72852770097617,30.033368796642907,ATT,MARS
0.4579206825499892,0.4151783383975494,1.1089064314834942,1.1427742502533054,0.13259688651484206,0.4128968494706218,0.8848032366604117,0.9088291574991023,168.46660712056124,182.4174442663235,27.462953073142327,PQ,MARS
