id,timestamp,event,user_id,button_pressed,correct_answer,appCode,App,User,Size,sessionNr,x_location.down,y_location.down,touch.duration,swipe_length,swipe_length.x,swipe_length.y,button_touch_x_location,button_touch_y_location,target_touch_x_location,target_touch_y_location,time_between_touches,x_location.release,y_location.release,difference.touch_buttonCenter_x,difference.touch_buttonCenter_y,touchAccuracy,touchAccuracy_x,touchAccuracy_y
163259.0,2017-06-26 15:24:20,touch.down,190,True,True,9,Spell,190,Normal,10,741.0,321.0,4.0,372.678480731045,119.5,353.0,32.0,35.0,39.54546,44.54546,5.0,621.5,674.0,3.0,0.0,0.0,-0.0857142857142857,0.0
163277.0,2017-06-26 15:24:30,touch.down,190,True,True,9,Spell,190,Normal,10,776.5,540.5,1.0,532.403042816248,518.0,123.0,60.5,35.5,8.181818,42.727270000000004,11.0,258.5,663.5,25.5,0.5,0.0104081632653061,0.7285714285714291,0.0142857142857143
163263.0,2017-06-26 15:24:23,touch.down,190,True,True,9,Spell,190,Normal,10,701.0,187.0,7.0,591.928416280212,305.5,507.0,41.0,28.0,13.181820000000002,45.0,6.0,395.5,694.0,6.0,7.0,-0.0342857142857143,0.17142857142857096,-0.2
163265.0,2017-06-26 15:24:24,touch.down,190,True,True,9,Spell,190,Normal,10,737.5,529.5,0.0,488.750447570128,454.0,181.0,27.5,52.5,18.63636,56.818180000000005,6.0,283.5,710.5,7.5,17.5,-0.107142857142857,-0.214285714285714,0.5
163267.0,2017-06-26 15:24:24,touch.down,190,True,True,9,Spell,190,Normal,10,900.0,494.5,0.0,561.2708793443679,504.0,247.0,51.0,38.5,4.5454550000000005,57.72727,0.0,396.0,741.5,16.0,3.5,0.0457142857142857,0.4571428571428571,0.1
163269.0,2017-06-26 15:24:25,touch.down,190,True,True,9,Spell,190,Normal,10,220.5,592.0,0.0,285.770887250608,256.0,127.0,48.5,29.0,-5.418605e-08,52.72727,1.0,476.5,719.0,13.5,6.0,-0.0661224489795918,0.38571428571428606,-0.17142857142857096
163273.0,2017-06-26 15:24:26,touch.down,190,True,True,9,Spell,190,Normal,10,390.5,256.0,0.0,550.5651641722351,301.0,461.0,26.5,40.0,64.54545999999999,85.45454000000001,1.0,691.5,717.0,8.5,5.0,-0.0346938775510204,-0.24285714285714302,0.14285714285714302
163247.0,2017-06-26 15:24:10,touch.down,190,True,True,9,Spell,190,Normal,10,798.0,171.0,0.0,536.30798054849,44.0,534.5,18.0,18.0,56.363640000000004,67.72726999999999,16.0,754.0,705.5,17.0,17.0,0.235918367346939,-0.48571428571428604,-0.48571428571428604
163249.0,2017-06-26 15:24:13,touch.down,190,True,True,9,Spell,190,Normal,10,721.0,488.0,2.0,266.595667631715,136.5,229.0,49.0,31.0,33.18182,76.36364,3.0,857.5,717.0,14.0,4.0,-0.0457142857142857,0.4,-0.11428571428571402
163251.0,2017-06-26 15:24:14,touch.down,190,True,True,9,Spell,190,Normal,10,893.5,518.0,0.0,562.7763765475589,531.5,185.0,53.5,31.0,12.727269999999999,56.363640000000004,3.0,362.0,703.0,18.5,4.0,-0.0604081632653061,0.5285714285714289,-0.11428571428571402
163299.0,2017-06-26 15:24:41,touch.down,190,True,False,9,Spell,190,Normal,10,332.5,266.0,0.0,429.616398662807,10.0,429.5,35.5,35.0,35.45454,10.45455,27.0,342.5,695.5,0.5,0.0,0.0,0.0142857142857143,0.0
163303.0,2017-06-26 15:24:42,touch.down,190,True,True,9,Spell,190,Normal,10,316.0,274.5,0.0,438.157791212253,24.0,437.5,19.0,43.5,10.45455,49.54546,1.0,292.0,712.0,16.0,8.5,-0.11102040816326501,-0.4571428571428571,0.24285714285714302
163305.0,2017-06-26 15:24:43,touch.down,190,True,True,9,Spell,190,Normal,10,270.5,170.0,0.0,539.725856338197,102.0,530.0,42.5,24.0,31.818179999999998,81.81818,1.0,372.5,700.0,7.5,11.0,-0.0673469387755102,0.214285714285714,-0.314285714285714
163307.0,2017-06-26 15:24:43,touch.down,190,False,False,9,Spell,190,Normal,10,208.5,442.0,0.0,396.99181351760905,291.5,269.5,0.0,0.0,0.0,0.0,0.0,500.0,711.5,39.5,24.0,-0.773877551020408,1.12857142857143,-0.6857142857142859
163309.0,2017-06-26 15:24:44,touch.down,190,False,False,9,Spell,190,Normal,10,131.0,451.0,0.0,539.138433057782,454.5,290.0,0.0,0.0,0.0,0.0,1.0,585.5,741.0,38.0,15.0,0.46530612244898,-1.08571428571429,-0.42857142857142894
163313.0,2017-06-26 15:24:45,touch.down,190,True,True,9,Spell,190,Normal,10,612.5,313.5,0.0,381.511795361559,58.5,377.0,27.5,52.5,52.272729999999996,65.90909,1.0,554.0,690.5,7.5,17.5,-0.107142857142857,-0.214285714285714,0.5
163315.0,2017-06-26 15:24:46,touch.down,190,True,True,9,Spell,190,Normal,10,841.0,569.0,0.0,234.220515753851,185.5,143.0,51.0,26.0,30.0,92.72726999999999,1.0,655.5,712.0,16.0,9.0,-0.11755102040816301,0.4571428571428571,-0.25714285714285695
163319.0,2017-06-26 15:24:50,touch.down,190,True,True,9,Spell,190,Normal,10,342.5,258.0,3.0,708.883805711486,532.0,468.5,47.5,21.0,51.363640000000004,101.8182,4.0,874.5,726.5,12.5,14.0,-0.14285714285714302,0.3571428571428571,-0.4
163227.0,2017-06-26 15:24:02,touch.down,190,True,True,9,Spell,190,Normal,10,517.5,610.5,0.0,191.85671737002102,172.0,85.0,28.5,29.5,25.45455,61.818180000000005,48.0,689.5,695.5,6.5,5.5,0.0291836734693878,-0.185714285714286,-0.157142857142857
163229.0,2017-06-26 15:24:03,touch.down,190,True,True,9,Spell,190,Normal,10,426.0,531.0,1.0,402.27913194696,358.5,182.5,37.0,22.0,62.72727,43.18182,1.0,784.5,713.5,2.0,13.0,-0.0212244897959184,0.0571428571428571,-0.37142857142857105
163231.0,2017-06-26 15:24:06,touch.down,190,True,True,9,Spell,190,Normal,10,382.5,226.0,3.0,710.5154818862151,527.5,476.0,23.5,15.0,76.36364,35.90909,4.0,910.0,702.0,11.5,20.0,0.18775510204081602,-0.32857142857142896,-0.5714285714285711
163281.0,2017-06-26 15:24:31,touch.down,190,True,True,9,Spell,190,Normal,10,557.0,596.5,0.0,96.0013020745031,0.5,96.0,33.0,14.5,32.727270000000004,59.09091,0.0,556.5,692.5,2.0,20.5,0.033469387755102005,-0.0571428571428571,-0.5857142857142861
163283.0,2017-06-26 15:24:31,touch.down,190,True,True,9,Spell,190,Normal,10,602.0,323.0,1.0,370.60659735088404,67.0,364.5,35.0,30.0,42.727270000000004,69.54545999999999,0.0,669.0,687.5,0.0,5.0,0.0,0.0,-0.14285714285714302
163285.0,2017-06-26 15:24:32,touch.down,190,True,True,9,Spell,190,Normal,10,296.5,270.0,0.0,626.340362742176,473.5,410.0,32.5,12.0,64.09091,47.727270000000004,0.0,770.0,680.0,2.5,23.0,0.0469387755102041,-0.0714285714285714,-0.6571428571428571
163287.0,2017-06-26 15:24:35,touch.down,190,True,True,9,Spell,190,Normal,10,887.0,449.0,0.0,532.245244224878,486.0,217.0,54.0,32.0,40.90909,32.727270000000004,3.0,401.0,666.0,19.0,3.0,-0.046530612244898,0.5428571428571429,-0.0857142857142857
163289.0,2017-06-26 15:24:36,touch.down,190,True,True,9,Spell,190,Normal,10,716.5,220.5,0.0,509.17433163897795,223.5,457.5,45.5,34.5,33.18182,56.818180000000005,1.0,493.0,678.0,10.5,0.5,-0.00428571428571429,0.3,-0.0142857142857143
163291.0,2017-06-26 15:24:36,touch.down,190,True,True,9,Spell,190,Normal,10,986.5,380.5,0.0,493.97899752924695,385.0,309.5,62.5,29.5,31.363640000000004,58.181819999999995,0.0,601.5,690.0,27.5,5.5,-0.123469387755102,0.7857142857142858,-0.157142857142857
163293.0,2017-06-26 15:24:37,touch.down,190,True,True,9,Spell,190,Normal,10,590.0,160.5,0.0,533.841034391325,94.0,525.5,20.0,18.5,31.818179999999998,46.363640000000004,1.0,684.0,686.0,15.0,16.5,0.20204081632653104,-0.42857142857142894,-0.47142857142857103
163295.0,2017-06-26 15:24:40,touch.down,190,True,True,9,Spell,190,Normal,10,687.5,505.5,0.0,508.99336930848096,472.0,190.5,49.5,40.5,32.727270000000004,36.81818,3.0,215.5,696.0,14.5,5.5,0.0651020408163265,0.414285714285714,0.157142857142857
163205.0,2017-06-26 15:23:53,touch.down,190,True,True,9,Spell,190,Normal,10,344.5,508.0,0.0,223.549211584385,114.5,192.0,33.5,49.0,71.36364,33.18182,0.0,459.0,700.0,1.5,14.0,-0.0171428571428571,-0.0428571428571429,0.4
163207.0,2017-06-26 15:23:53,touch.down,190,True,True,9,Spell,190,Normal,10,118.5,599.0,1.0,486.937624342174,474.0,111.5,42.5,15.0,22.72727,50.45454,0.0,592.5,710.5,7.5,20.0,-0.12244897959183698,0.214285714285714,-0.5714285714285711
163209.0,2017-06-26 15:23:54,touch.down,190,True,True,9,Spell,190,Normal,10,801.5,637.5,0.0,154.073034629685,127.5,86.5,49.5,43.5,41.363640000000004,84.54545999999999,0.0,674.0,724.0,14.5,8.5,0.100612244897959,0.414285714285714,0.24285714285714302
163211.0,2017-06-26 15:23:54,touch.down,190,True,True,9,Spell,190,Normal,10,619.5,301.0,4.0,601.016846685682,483.5,357.0,39.5,41.0,21.36364,25.90909,0.0,136.0,658.0,4.5,6.0,0.0220408163265306,0.128571428571429,0.17142857142857096
163213.0,2017-06-26 15:23:57,touch.down,190,True,True,9,Spell,190,Normal,10,474.0,370.5,1.0,401.824899676464,269.0,298.5,44.0,19.5,54.09091,41.363640000000004,1.0,205.0,669.0,9.0,15.5,-0.11387755102040802,0.25714285714285695,-0.4428571428571429
163215.0,2017-06-26 15:23:58,touch.down,190,True,True,9,Spell,190,Normal,10,67.5,553.0,1.0,308.016233338439,265.0,157.0,18.5,16.0,18.181820000000002,73.63636,0.0,332.5,710.0,16.5,19.0,0.255918367346939,-0.47142857142857103,-0.5428571428571429
163217.0,2017-06-26 15:23:59,touch.down,190,True,True,9,Spell,190,Normal,10,590.0,488.0,0.0,286.513524986169,161.0,237.0,49.0,56.0,-9.090909,44.09091,0.0,429.0,725.0,14.0,21.0,0.24,0.4,0.6
163219.0,2017-06-26 15:23:59,touch.down,190,True,True,9,Spell,190,Normal,10,933.0,586.5,1.0,422.66683096737097,402.5,129.0,28.0,30.5,23.63636,71.81818,0.0,530.5,715.5,7.0,4.5,0.0257142857142857,-0.2,-0.128571428571429
163221.0,2017-06-26 15:24:00,touch.down,190,True,True,9,Spell,190,Normal,10,600.0,355.5,1.0,333.188385151704,33.5,331.5,31.0,31.5,44.09091,57.72727,0.0,633.5,687.0,4.0,3.5,0.0114285714285714,-0.11428571428571402,-0.1
163241.0,2017-06-26 15:24:09,touch.down,190,True,True,9,Spell,190,Normal,10,756.0,265.0,0.0,460.459824523269,186.5,421.0,50.0,41.0,38.636359999999996,69.54545999999999,0.0,569.5,686.0,15.0,6.0,0.073469387755102,0.42857142857142894,0.17142857142857096
163243.0,2017-06-26 15:24:09,touch.down,190,True,True,9,Spell,190,Normal,10,687.5,165.0,1.0,545.1671761946051,13.5,545.0,47.5,45.0,45.0,83.63636,0.0,701.0,710.0,12.5,10.0,0.10204081632653099,0.3571428571428571,0.28571428571428603
163235.0,2017-06-26 15:24:07,touch.down,190,True,True,9,Spell,190,Normal,10,67.0,354.5,0.0,397.941264510229,187.5,351.0,29.0,39.5,13.181820000000002,74.09091,3.0,254.5,705.5,6.0,4.5,-0.0220408163265306,-0.17142857142857096,0.128571428571429
163233.0,2017-06-26 15:24:07,touch.down,190,True,True,9,Spell,190,Normal,10,459.0,423.0,1.0,290.742583740325,46.5,287.0,43.0,40.0,65.90909,74.09091,0.0,412.5,710.0,8.0,5.0,0.0326530612244898,0.22857142857142898,0.14285714285714302
163239.0,2017-06-26 15:24:08,touch.down,190,True,False,9,Spell,190,Normal,10,677.0,138.5,1.0,728.443889397118,524.5,505.5,37.0,18.5,13.181820000000002,30.0,0.0,152.5,644.0,2.0,16.5,-0.0269387755102041,0.0571428571428571,-0.47142857142857103
163237.0,2017-06-26 15:24:08,touch.down,190,True,True,9,Spell,190,Normal,10,546.5,470.0,0.0,225.480043462831,79.5,211.0,45.5,30.0,27.72727,60.45454,1.0,467.0,681.0,10.5,5.0,-0.0428571428571429,0.3,-0.14285714285714302
163329.0,2017-06-26 15:25:37,touch.down,190,True,True,9,Spell,190,Normal,11,507.0,213.5,1.0,499.458957272767,49.5,497.0,9.0,23.5,34.09091,83.63636,89.0,457.5,710.5,26.0,11.5,0.24408163265306101,-0.742857142857143,-0.32857142857142896
163321.0,2017-06-26 15:25:35,touch.down,190,True,True,9,Spell,190,Normal,11,155.0,496.5,0.0,274.461290531106,160.0,223.0,26.0,28.5,40.90909,52.72727,2.0,315.0,719.5,9.0,6.5,0.0477551020408163,-0.25714285714285695,-0.185714285714286
