"id","timestamp","event","user_id","button_pressed","correct_answer","appCode","App","User","Cond","sessionNr","x_location.down","y_location.down","touch.duration","swipe_length","swipe_length.x","swipe_length.y","button_touch_x_location","button_touch_y_location","target_touch_x_location","target_touch_y_location","time_between_touches","x_location.release","y_location.release","difference.touch_buttonCenter_x","difference.touch_buttonCenter_y","touchAccuracy","touchAccuracy_x","touchAccuracy_y"
29357,"2016-11-15 15:34:28","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-2.04691260065176,0.00445624279249686,0,-2.45726339020544,-2.42704846482129,-2.45726339020544,-1.17721147148054,-0.91875789097202,-1.24535850227512,-1.54230291883832,0,-2.67131123257057,-2.21798939434658,-0.686426109738052,-0.693139163558305,1.45220560583384,0.736105219361239,1.31321321826609
29365,"2016-11-15 15:34:31","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-2.12007168974215,-0.0501535834647337,0,-2.45726339020544,-2.42704846482129,-2.45726339020544,-1.51629630939037,-2.09193372804625,-1.45180599847119,-2.18956836291262,0,-2.73583497034145,-2.24140272760494,-2.69684426087813,-0.0190793838046593,0.128890309705906,-0.555820846038821,-1.96569949384233
29367,"2016-11-15 15:34:32","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-2.1988457961575,-0.0222829841150868,0,-2.45726339020544,-2.42704846482129,-2.45726339020544,-1.94682636013988,-1.24778142977946,-1.6568215658677,-1.80761355759313,1,-2.81426512672907,-2.23628156361068,-0.686426109738052,-1.14095442550994,1.03286588305951,-1.60421501273442,-0.267753729744613
29369,"2016-11-15 15:34:33","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-2.16425943053163,-0.0155974305535831,0,-2.45726339020544,-2.42704846482129,-2.45726339020544,-1.69247440853677,-1.11750660333925,-1.52872217206557,-1.7150648748191,1,-2.76013331943498,-2.23121838597534,-1.2581615610631,-2.68131553172516,0.128890309705906,-1.05617364563693,0.286856469979962
29373,"2016-11-15 15:34:34","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-1.35074298434308,0.931791197856997,1,-0.998805566635024,-1.16285364178985,-0.375439902962811,-0.960109714053904,-1.1989289967594,-1.09263166147967,-0.979049432114187,0,-1.79701440245995,2.8695078627221,-0.20274629889968,-1.36899768036234,-0.807964339417218,1.64109460840097,-0.0737337764321288
29381,"2016-11-15 15:34:39","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,1.13988711612355,0.0719186264535433,2,1.49043037366784,1.61798111938686,0.164364200085641,-2.42178595674715,-0.974785508975046,-1.15875624929655,-1.46674864534766,0,-1.36686805464463,1.31486417251218,-0.20274629889968,-0.969201937778503,-1.26093204008267,-2.25007090853934,1.00894711035745
29383,"2016-11-15 15:34:42","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,0.373348762026245,-1.97247370169294,1,1.14846227566523,0.250184793477024,2.17009037758456,-1.00225133033677,-2.09193372804625,-1.09263166147967,-1.31123678595737,1,-0.708806691943473,0.873809103032971,-0.284535542671622,-0.0190793838046593,-2.29036787785527,1.4414965742886,-1.96569949384233
29393,"2016-11-15 15:34:50","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,0.633953588875406,1.36192288768466,2,-0.606942776046676,0.185858718989829,-0.805265186744091,-1.08934902792428,-1.1989289967594,-1.29496201522591,-1.17249095859902,1,-0.242289879016407,1.66400659672472,-0.480788721885297,-1.36899768036234,-0.657454234383583,1.05253195938359,-0.0737337764321288
29399,"2016-11-15 15:34:55","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,0.167894004788105,-0.857402963209994,1,-2.05031877796446,-1.72546089956161,-1.96569949384233,-1.08934902792428,-1.48495571508314,-1.42592882188589,-1.08708329448675,0,0.175101346834981,-2.42178595674715,-0.480788721885297,-0.579049822992788,-1.46227207864137,1.05253195938359,-0.954165253146194
29405,"2016-11-15 15:35:01","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,0.136898390428016,-0.62072925443409,2,0.146041168699321,-1.94682636013988,0.906718731052118,-1.51629630939037,-0.886733826103832,-2.15564864419579,-1.91537698209592,1,0.147871165698085,1.25693333133208,-2.69684426087813,-0.579049822992788,0.128890309705906,-0.555820846038821,1.49894119216967
29413,"2016-11-15 15:35:08","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,0.147730379193746,-0.00751995569854052,0,-2.45726339020544,-2.42704846482129,-2.45726339020544,-1.00225133033677,-1.63949067520827,-1.12272206087275,-1.99335834051034,1,0.194082720887487,-2.22290476777072,-0.284535542671622,-0.357864866274841,-1.84755553874675,1.4414965742886,-1.28758952132344
29415,"2016-11-15 15:35:08","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,0.144211660645962,0.0306413619528729,1,-0.383071613079125,-0.567724250579963,0.182459389003396,-1.17721147148054,-0.91875789097202,-0.559562663478533,-1.12560362430475,0,0.757083230653824,1.15115939488871,-0.686426109738052,-0.693139163558305,1.45220560583384,0.736105219361239,1.31321321826609
29417,"2016-11-15 15:35:10","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-1.25417672485917,-0.400514266475483,3,1.83917881970165,1.80052501231354,0.530161445055519,-1.94682636013988,-1.42170774392312,-0.897097923495864,-1.38118455567225,1,1.3325891531604,0.532888001963826,-0.686426109738052,-0.693139163558305,1.45220560583384,-1.60421501273442,-0.80835041316569
