"id","timestamp","event","user_id","button_pressed","correct_answer","appCode","App","User","Cond","sessionNr","x_location.down","y_location.down","touch.duration","swipe_length","swipe_length.x","swipe_length.y","button_touch_x_location","button_touch_y_location","target_touch_x_location","target_touch_y_location","time_between_touches","x_location.release","y_location.release","difference.touch_buttonCenter_x","difference.touch_buttonCenter_y","touchAccuracy","touchAccuracy_x","touchAccuracy_y"
29357,"2016-11-15 15:34:28","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-2.02921067322222,0.0115148981808028,0,-2.44347325586721,-2.41720093405667,-2.44347325586721,-1.18442136080696,-0.915048351380866,-1.24638883614869,-1.54845110004702,0,-2.58127560439858,-2.24748590335487,-0.689103787221642,-0.689973121430408,1.44669608025528,0.728759210726853,1.32007619089672
29365,"2016-11-15 15:34:31","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-2.10710099142086,-0.0434677565850334,0,-2.44347325586721,-2.41720093405667,-2.44347325586721,-1.53140264255204,-2.10083226705423,-1.45336399815498,-2.20191316830766,0,-2.63911123630219,-2.28688086008196,-2.70208968475866,-0.0215230790498122,0.126587110810619,-0.55913568263094,-1.96480572318681
29367,"2016-11-15 15:34:32","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-2.18370513613336,-0.0150792715556599,0,-2.44347325586721,-2.41720093405667,-2.44347325586721,-1.98799928937262,-1.24788053123334,-1.65355867361724,-1.81832452401362,1,-2.70740517201854,-2.27396000856048,-0.689103787221642,-1.13762462081402,1.02753816832451,-1.62211086212456,-0.264034604781139
29369,"2016-11-15 15:34:33","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-2.14794337080868,-0.00822483824580379,0,-2.44347325586721,-2.41720093405667,-2.44347325586721,-1.7164660311321,-1.11436913822682,-1.53140264255204,-1.72368734631791,1,-2.66209899342991,-2.26853676217689,-1.2568896065073,-2.67170228582512,0.126587110810619,-1.06135908890781,0.293392240388937
29371,"2016-11-15 15:34:33","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-2.09219242424084,-0.0360596143419453,1,-1.26173643992166,-1.00026445505546,-0.693630037668833,-1.47743033604084,-1.72308213025657,-1.18497441709991,-1.12617917567775,0,-2.11730654141298,-1.93276792949875,-1.8350454129914,-0.267726892136725,-0.421021375954209,-0.366357649279507,-1.42328403369685
29373,"2016-11-15 15:34:34","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,-1.34201558052545,0.936936106247925,1,-0.988800863161946,-1.15347648520965,-0.368850888634614,-0.968224427211382,-1.19892040280025,-1.09469113387174,-0.977686811847623,0,-1.812625947584,2.81932844401709,-0.207789672234119,-1.36115079694381,-0.810043204231947,1.63710856452171,-0.0696925543384589
29381,"2016-11-15 15:34:39","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,1.12282567466321,0.0800023696290329,2,1.48688671463514,1.61651636064468,0.170804972421158,-2.50171945262946,-0.970417227355355,-1.16016770821951,-1.47417192943162,0,-1.38830465224937,1.30676102440232,-0.207789672234119,-0.964070881053407,-1.26906275999139,-2.30407527400739,1.01575690966024
29383,"2016-11-15 15:34:42","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,0.365331683758922,-1.94625435690831,1,1.15374314292554,0.255669202182872,2.13437633312057,-1.00912021201461,-2.10083226705423,-1.09469113387174,-1.31778630360579,1,-0.73287711734985,0.874744785927839,-0.287529835098061,-0.0215230790498122,-2.34278662505847,1.43431634471218,-1.96480572318681
29393,"2016-11-15 15:34:50","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,0.620807907349874,1.35976742828009,2,-0.59868638066853,0.191707762150537,-0.799431503425604,-1.09643978508415,-1.19892040280025,-1.29684519095646,-1.1758948910886,1,-0.263324963560911,1.64025793619364,-0.48204861734231,-1.36115079694381,-0.660359280429218,1.04040540554188,-0.0696925543384589
29399,"2016-11-15 15:34:55","touch.down",100,"True","True",9,"Spell",100,"TinyIcons",7,0.161492993118011,-0.847535108538675,1,-2.04337849975337,-1.71527114324505,-1.94171955696342,-1.09643978508415,-1.48481966902831,-1.42631011139261,-1.086492193582,0,0.154969104209217,-2.56993649049084,-0.48204861734231,-0.578149669460722,-1.47988447464632,1.04040540554188,-0.947190908655512
