,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
x_location.down_mean,0.16815134482254745,-0.0946507603999292,0.008801568799519266,-0.03989623929229083,-0.0985958110910092,-0.024498232704529666,0.046017220748376095,-0.08196057885222746,-0.10639960260799079,0.0496613612568492,0.031222860464940855,-0.005531962782047067,0.034723498452305344,-0.003913712741302422,0.15685788618773572,-0.06598338745781879,-0.08669686888248654,0.08755149171564587,0.00799255719478111,-0.023708952704003007,0.12268361897748586,0.08316971585164479,0.007153427314212583,-0.1652443359414347,-0.007936334216334218,0.003632569047976042,-0.0011462595684282595,0.0722526419022482,0.04620005961641051,-0.01737249888357625,0.10529629138081442,0.15835091273270363,-0.12751936637786085,0.0068851190553760756,-0.35379949038339265,0.0733653535944047,0.04961353337180601,0.1484430874515538,0.24469568793993962,-0.012862776169528571,0.3401203806563663,-0.022862068946654088,-0.08364198903313363,-0.3767306257649333,-0.022849085716754744,0.14105297449684379,0.05438699213210596,0.10136795794713574,0.046051663249951844,0.31849626477546894,0.1435735251659629,-0.03733994267606257,0.13938970349303312
button_touch_y_location_mean,0.022361775366223746,-0.20501678418315858,0.26389850148927557,0.0489250695029642,-0.12960907933404373,0.11802055738940365,0.1397662481233744,-0.06574231757826637,0.1286248547210595,0.07909295846689388,-0.05603251204034285,-0.0502862785361168,0.059309111085933,0.055397151950156986,-0.06771898397104614,-0.0918822214854342,-0.061159668860761046,0.11164385449121898,-0.013447592187572605,0.03387600802006522,0.22316017532394267,0.05255371801915359,0.0015257551936057046,0.005748686549645651,-0.03019527626488594,-0.0813901605527803,0.17284424318823802,0.031779110819773096,0.1685295230829393,-0.20798204793404573,0.11875386931553514,-0.09099232909432689,0.0134368525775031,0.05583691085927555,-0.041983478140038576,0.013365105288819762,-0.07429295982835163,-0.02649309972718723,-0.08793050353418266,0.05582985644793529,-0.02455775811398382,-0.005722251646934434,0.04609707990145287,-0.018263721161838775,-0.2386249225737712,-0.04202910840580085,0.246049707234913,-0.14999702024122,-0.22836407194369535,-0.11289374689659498,-0.13354011888429865,0.1327616728310291,0.31265402957499516
target_touch_y_location_mean,-0.06420150348397483,-0.02489160878653729,0.2633123667648647,0.1187344518923128,-0.22713341396231906,0.014513091688552943,0.17252117589658067,-0.09926382624107623,0.020096691554717692,-0.034887559759726586,0.053357690350108455,-0.0856857154521774,0.1589602986384399,0.08788606051179731,0.0253571615814416,0.12386248360705598,-0.05083872861343693,0.16180113638797877,-0.02127470257261349,0.005541931544980778,0.1138694181297599,0.18885099519782075,0.09455498017001518,0.038524075994959356,-0.01546226945794485,-0.01439737707970988,0.07478072738104513,-0.13013524570167342,0.18582764646361394,0.03708878902821762,0.14514153771556104,-0.0995818882642958,0.0807724277688328,-0.015335621928816587,0.026564165069694348,-0.13571951439781496,-0.2982204845714447,0.2142039350163339,-0.2077296326581599,-0.052557982526091784,-0.0876746576467898,0.056169897075180615,-0.13944213763537472,-0.0150539205023554,-0.03454608900064517,0.012289900835141546,0.004649910070701924,0.07717845811223624,0.01718527425356194,0.12312928426306681,0.08449899750046364,0.14099405171849752,-0.17354469962561497
y_location.release_mean,-0.1314274236364235,0.041622331057101336,0.18873165128968183,0.08684932825448843,-0.10381746801555836,0.12057102222549337,-0.05766971904785323,-0.09727362482401666,-0.08374470638070065,0.0016519612855189214,0.1352624667057042,-0.044879034578827484,-0.10052305841483528,0.10218678777337051,0.17805553931730267,0.08163548652248641,-0.005537004269973001,0.058704342905457035,0.010117650723276774,0.20247830152204271,-0.009526047865393975,0.12006780832544463,-0.045948962840618786,0.16921370663191562,-0.07521539220542947,0.06399406485748611,0.13115265285598704,0.018467777341709846,0.049490466739345165,0.03954263620145154,-0.12096909807376138,0.04814746871605362,-0.2208757182467088,-0.08999507535576824,-0.12378434982537273,-0.13100401655607152,0.25569019194775156,0.025297945439428655,0.010918450920305835,-0.14004746736687151,-0.13694479612152227,-0.2822247598550318,0.29731480651567677,0.037862490342183294,0.2705858714170215,-0.24632783688863003,0.24851680005518817,-0.07429880816368005,0.08840486937537398,0.036283829212099265,-0.05922158773123064,-0.27015078392519004,0.12528388327599552
difference.touch_buttonCenter_x_mean,0.052754411246069166,0.19470599766955832,0.10896478106364565,-0.19776253078788647,0.01001874645475842,0.10697235357219216,0.09922377555993944,0.20032686883003709,-0.21690116148759842,-0.03606555359652066,-0.004774065920856219,-0.08995430401151942,-0.04843127230537277,0.05827924606886192,-0.0028276454938353374,0.2390082357262443,0.29908085543017915,-0.09742442639355535,0.00012738877481165796,-0.08025697596587222,0.007302835138103033,-0.12106599982780059,0.11884841789635354,0.022717387198424838,0.03153178852076616,-0.06680116215425333,0.049010453180630416,0.0826316446204815,-0.046624522935455576,-0.012677260991491808,0.03522420215897201,-0.0024369392871585135,-0.05985099765904689,0.08766747006173445,-0.21012181669425126,-0.15771130844793682,-0.056290294126398785,-0.18193015692613645,-0.15275409782446359,-0.164401991524666,-0.049714476998831275,0.3922971711744001,0.020202111652113892,0.11335962111856576,-0.22691728389776783,0.07951528377503052,0.25107461820022337,-0.006580356379298959,0.06667255503424985,-0.03722690392975294,0.19457693214840405,-0.2083093481645145,0.07950009838791872
touchAccuracy_mean,-0.018421874809211012,-0.1576360952209084,0.08117472293967665,0.20569363513921168,0.033290731254339845,-0.10083062025770534,0.03127548428353198,0.1680137650930313,-0.21786973208253252,0.10136639280585291,0.03209868807929217,0.006522708597194622,0.05933996218168704,0.040803261062420104,0.3549342395731985,-0.1430252638179858,-0.012186817625581256,-0.22570092137585077,-0.22453875216624727,-0.0705205537514224,0.33246610056352055,0.13574991368291428,-0.24088566594613608,-0.10372334954234075,0.12485332300660214,0.0006932426208133106,-0.1480576391946072,-0.1204852924934276,0.022796376600136357,0.3153807603364879,-0.03578012694683193,0.0348797663196741,0.034068100681903565,0.1582070180095917,0.1836458603580265,0.027747616888220555,0.03171344077051806,-0.03172259010417518,0.042668685365008355,-0.11816210222749036,-0.12303446999540554,0.21141959125075255,-0.09650116001285203,-0.04655234018413992,0.05980196936031311,0.018106522111217875,0.04080533144158706,-0.1742803827302287,-0.032358874862101976,-0.017632827680590518,-0.07386672892923135,-0.13486155573595407,-0.022700288915124746
touchAccuracy_x_mean,0.08424043013654728,0.02610830035547279,0.016686767625250787,-0.228212618031011,-0.14875911426363603,0.2043050355276137,-0.09000075155018417,-0.0559521107690468,-0.2803609602514525,-0.08091595420431219,0.045732414398595767,-0.02996126600414853,-0.025858382966044424,-0.08225424589429203,-0.16148319327324864,-0.024164538824600706,0.047600070977723646,0.010039704689390153,-0.2632204712289527,0.07016255201587122,0.06076021008142202,0.12244982896059398,0.24392088727362987,-0.16367438676109464,0.17402604727077653,0.15526459902860448,-0.05118760127092575,-0.002147058337541363,-0.13705476252564228,-0.1882622101355257,-0.03953308466063693,-0.09697392352309271,0.1240358764124023,0.279695806596849,-0.11639761646057491,0.13566652741654595,-0.05637937339718606,0.1657424349801277,-0.024607259881123562,-0.11064844500631008,0.0703768126023937,-0.01806386790729589,0.10159934783779162,-0.06892220958378417,0.3097250105558891,0.134165228202801,0.04382218878318706,-0.07636306951473239,0.027424991631267343,-0.0965569110531375,-0.20848168729975292,0.0216615823201715,-0.16844830230353333
touchAccuracy_y_mean,-0.015708702161546087,0.020893089067766914,0.2912306439894398,-0.042642676122939205,-0.025002788031545646,0.10735247666444309,-0.12703523722603047,0.26798917613346057,-0.06017545445770544,-0.140100273405843,-0.24577615990707447,-0.09855470311518749,-0.07950599219082452,-0.09603853407735535,0.14610191390989052,-0.10724850913405017,-0.014254430269051856,-0.09848767828192836,0.13087581644641552,0.08431953098007057,-0.07545558473522557,-0.07451639119489048,-0.07221478071110572,0.010537084178922934,0.024025079355796175,-0.011917396750414075,-0.14167105292520107,-0.19589776232869743,0.11888536407693895,-0.14924855981493715,-0.13683128464199767,-0.10720801877073662,0.05516784356711653,-0.2385417563558596,-0.002080519079667201,0.12229102198539926,0.059669085772928954,-0.15352867029105272,-0.27308597951803043,-0.044595735181895746,-0.05082450137868544,0.013738421183208949,0.06177967951287451,-0.2691945695800794,0.05042699513891996,0.12836334226019255,-0.06988810480246038,0.01890557493340212,0.2585900604807883,0.13857579358660485,-0.08980530441297607,0.25523130240114084,0.11406538081916964
y_location.release_median,-0.09803636625845158,0.06376092449100566,0.20352548039009744,0.06954214468125959,0.0177819052578988,0.07303281014102228,0.009959037539269234,-0.1398699629398183,-0.12120271021021231,-0.11820032324873403,0.30305414276765696,-0.1470502224897417,-0.00364411751287198,-0.12500415738265933,0.05630109351484391,-0.05532690912905871,0.045481441536335376,0.15604935143566218,0.07782692340369274,-0.032018849013857376,-0.1684753460867985,0.03418689741100935,-0.21411557200656356,0.25497892833487396,0.0569329402693962,0.16948884096973668,0.18471746190698346,0.033667241015103024,-0.2412058007099514,0.030412811459772284,-0.06964503410069732,-0.029930686276735202,-0.23712616070038967,0.10459288031984054,0.2528462307773678,0.11483850243945444,-0.11353778886576144,-0.09540158154025198,-0.0995685644857485,0.02954256819188598,0.2509530163182854,0.00963840633883549,-0.22245748633826465,-0.08358691931814757,0.02684860255619721,0.13125477720748277,0.04726394843074152,-0.1381522474708668,-0.032832408588255015,-0.11696931032202895,0.15347129711717114,0.09874973969777824,-0.11362503225820254
difference.touch_buttonCenter_x_median,0.12757007468456685,-0.01814403443243533,0.011790106565864097,-0.18415405759883016,-0.03125497668202207,0.03175614483266552,-0.05690577221494105,0.07840421906268691,0.08497691150810427,0.2338822659009876,0.09063880278516209,0.12856261199011687,-0.07505619345263817,-0.04610348257656306,-0.05665466873232886,0.12200757913734527,0.17821259799012346,-0.3405968900307293,-0.014378825306456872,-0.1160209218529228,-0.029276242947565347,0.14346787226315036,-0.1994951942059262,-0.10062514893140109,-0.11496053001221178,-0.18255319367990575,0.2628376456213071,0.12773112288463706,-0.0628994043773315,-0.005934415433822771,-0.1600437636164086,-0.00032967551668134504,-0.017847605258754153,-0.07379039519224913,0.04287954672439468,-0.08251832267820138,-0.18393756395253794,0.3062013498893146,-0.09148881702116397,-0.1051453444688267,-0.1477283731628448,-0.09242113045054304,-0.011068455861777474,-0.30989193578021296,0.0622194155550364,-0.23230812545585386,-0.054987472791088926,-0.0379024909479735,0.041622949434483095,-0.10457888281756086,0.12257849607523601,0.17029193302447027,-0.08398717162005415
